"NOM_WILAYA","WILAYA","Confirmés","Nouveaux cas","Décés","Récupéré","Hospitalisés","Femelle","Male","Moin de 1 ans","1-14 ans","15-24 ans","25-49 ans","50-59 ans","sup 60 ans","NP","date"
"ADRAR",1,13,7,1,0,12,0,2,0,0,1,1,0,NA,NA,"19/04/2020"
"CHLEF",2,45,0,1,0,43,0,1,0,0,0,0,0,1,NA,"19/04/2020"
"LAGHOUAT",3,12,0,0,0,12,0,1,0,0,0,0,1,NA,NA,"19/04/2020"
"OUM EL BOUAGHI",4,22,4,4,0,18,2,0,0,0,0,1,0,1,NA,"19/04/2020"
"BATNA",5,26,1,4,0,22,4,3,0,0,0,0,2,1,2,"19/04/2020"
"BEJAIA",6,94,8,13,1,80,2,3,0,0,0,2,1,1,NA,"19/04/2020"
"BISKRA",7,14,3,4,2,8,0,1,0,0,0,0,0,1,NA,"19/04/2020"
"BECHAR",8,10,0,0,0,10,0,0,0,0,0,0,0,NA,NA,"19/04/2020"
"BLIDA",9,628,13,91,32,505,180,205,0,7,11,135,74,142,16,"19/04/2020"
"BOUIRA",10,17,1,2,0,15,2,1,0,0,0,0,2,1,NA,"19/04/2020"
"TAMENGHASSET",11,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,"19/04/2020"
"TEBESSA",12,10,0,2,0,8,0,0,0,0,0,0,0,NA,NA,"19/04/2020"
"TLEMCEN",13,38,0,6,0,32,2,5,0,0,0,1,2,2,1,"19/04/2020"
"TIARET",14,14,1,1,0,13,0,0,0,0,0,0,0,NA,NA,"19/04/2020"
"TIZI OUZOU",15,85,14,10,2,73,16,24,0,0,2,13,3,21,NA,"19/04/2020"
"ALGER",16,427,17,96,11,320,61,93,0,1,0,51,37,59,6,"19/04/2020"
"DJELFA",17,35,2,2,0,33,1,0,0,0,0,0,0,1,NA,"19/04/2020"
"JIJEL",18,27,3,4,0,23,1,1,0,0,0,0,1,1,NA,"19/04/2020"
"SETIF",19,101,6,9,2,90,3,4,0,0,1,1,2,1,NA,"19/04/2020"
"SAIDA",20,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,"19/04/2020"
"SKIKDA",21,27,3,2,3,22,3,3,0,0,0,1,1,1,1,"19/04/2020"
"SIDI BEL ABBES",22,25,0,5,0,20,1,1,0,0,0,0,1,1,NA,"19/04/2020"
"ANNABA",23,17,1,3,3,11,2,4,0,0,1,0,1,1,1,"19/04/2020"
"GUELMA",24,8,2,0,0,8,1,1,0,0,0,0,0,1,NA,"19/04/2020"
"CONSTANTINE",25,57,15,9,0,48,2,1,0,0,0,0,0,2,1,"19/04/2020"
"MEDEA",26,35,5,8,1,26,2,3,0,0,0,1,1,1,1,"19/04/2020"
"MOSTAGANEM",27,46,9,3,0,43,2,1,0,0,0,1,1,NA,NA,"19/04/2020"
"M'SILA",28,13,3,6,0,7,0,0,0,0,0,0,0,NA,NA,"19/04/2020"
"MASCARA",29,22,0,4,2,16,2,1,0,0,0,0,1,1,NA,"19/04/2020"
"OUARGLA",30,22,8,3,1,18,0,0,0,0,0,0,0,NA,NA,"19/04/2020"
"ORAN",31,145,0,12,0,133,22,40,0,0,7,24,12,17,2,"19/04/2020"
"EL BAYADH",32,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,"19/04/2020"
"ILLIZI",33,2,0,0,0,2,0,0,0,0,0,0,0,NA,NA,"19/04/2020"
"BORDJ BOU ARRERIDJ",34,50,1,12,0,38,2,4,0,0,1,2,0,2,NA,"19/04/2020"
"BOUMERDES",35,33,2,6,1,26,2,2,0,0,1,1,0,1,1,"19/04/2020"
"EL-TARF",36,6,0,0,0,6,0,2,0,0,0,0,1,1,NA,"19/04/2020"
"TINDOUF",37,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,"19/04/2020"
"TISSEMSILT",38,29,1,2,1,26,0,1,0,0,0,0,1,NA,NA,"19/04/2020"
"EL OUED",39,23,0,7,0,16,2,3,0,0,0,0,2,1,1,"19/04/2020"
"KHENCHELA",40,19,5,2,0,17,0,2,0,0,0,0,0,1,1,"19/04/2020"
"SOUK-AHRAS",41,7,1,1,0,6,1,1,0,0,0,1,0,1,NA,"19/04/2020"
"TIPAZA",42,76,3,15,0,61,3,6,0,0,1,2,2,2,1,"19/04/2020"
"MILA",43,6,2,1,0,5,0,0,0,0,0,0,0,NA,NA,"19/04/2020"
"AIN DEFLA",44,73,3,5,0,68,0,2,0,0,0,0,1,NA,NA,"19/04/2020"
"NAAMA",45,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,"19/04/2020"
"AIN-TEMOUCHENT",46,18,0,2,0,16,0,1,0,0,0,0,0,1,NA,"19/04/2020"
"GHARDAIA",47,25,6,4,0,21,0,1,0,0,0,0,1,NA,NA,"19/04/2020"
"RELIZANE",48,12,0,2,0,10,0,1,0,0,0,0,1,0,NA,"19/04/2020"
