"NOM_WILAYA","WILAYA","Confirmés","Nouveaux cas","Décés","Récupéré","Hospitalisés","Femelle","Male","Moin de 1 ans","1-14 ans","15-24 ans","25-49 ans","50-59 ans","sup 60 ans","NP","date"
"ADRAR",1,4,0,1,0,3,0,2,0,0,1,1,0,NA,NA,"06/04/2020"
"CHLEF",2,25,7,1,0,24,0,1,0,0,0,0,0,1,NA,"06/04/2020"
"LAGHOUAT",3,3,1,0,0,3,0,1,0,0,0,0,1,NA,NA,"06/04/2020"
"OUM EL BOUAGHI",4,11,2,3,0,4,2,0,0,0,0,1,0,1,NA,"06/04/2020"
"BATNA",5,14,0,2,0,12,4,3,0,0,0,0,2,1,2,"06/04/2020"
"BEJAIA",6,62,6,3,1,58,2,3,0,0,0,2,1,1,NA,"06/04/2020"
"BISKRA",7,9,3,2,2,5,0,1,0,0,0,0,0,1,NA,"06/04/2020"
"BECHAR",8,6,0,0,0,6,0,0,0,0,0,0,0,NA,NA,"06/04/2020"
"BLIDA",9,474,18,42,32,400,180,205,0,7,11,135,74,142,16,"06/04/2020"
"BOUIRA",10,11,0,0,0,10,2,1,0,0,0,0,2,1,NA,"06/04/2020"
"TAMENGHASSET",11,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,"06/04/2020"
"TEBESSA",12,5,0,2,0,3,0,0,0,0,0,0,0,NA,NA,"06/04/2020"
"TLEMCEN",13,37,2,2,0,35,2,5,0,0,0,1,2,2,1,"06/04/2020"
"TIARET",14,1,0,1,0,0,0,0,0,0,0,0,0,NA,NA,"06/04/2020"
"TIZI OUZOU",15,41,0,6,2,33,16,24,0,0,2,13,3,21,NA,"06/04/2020"
"ALGER",16,238,18,44,11,183,61,93,0,1,0,51,37,59,6,"06/04/2020"
"DJELFA",17,14,3,1,0,10,1,0,0,0,0,0,0,1,NA,"06/04/2020"
"JIJEL",18,17,0,1,0,16,1,1,0,0,0,0,1,1,NA,"06/04/2020"
"SETIF",19,58,8,7,2,49,3,4,0,0,1,1,2,1,NA,"06/04/2020"
"SAIDA",20,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,"06/04/2020"
"SKIKDA",21,19,2,0,3,16,3,3,0,0,0,1,1,1,1,"06/04/2020"
"SIDI BEL ABBES",22,13,3,0,0,13,1,1,0,0,0,0,1,1,NA,"06/04/2020"
"ANNABA",23,11,2,1,3,5,2,4,0,0,1,0,1,1,1,"06/04/2020"
"GUELMA",24,5,2,0,0,2,1,1,0,0,0,0,0,1,NA,"06/04/2020"
"CONSTANTINE",25,21,4,4,0,17,2,1,0,0,0,0,0,2,1,"06/04/2020"
"MEDEA",26,26,0,8,1,17,2,3,0,0,0,1,1,1,1,"06/04/2020"
"MOSTAGANEM",27,22,0,1,0,21,2,1,0,0,0,1,1,NA,NA,"06/04/2020"
"M'SILA",28,4,1,2,0,2,0,0,0,0,0,0,0,NA,NA,"06/04/2020"
"MASCARA",29,16,1,0,2,13,2,1,0,0,0,0,1,1,NA,"06/04/2020"
"OUARGLA",30,4,1,1,1,2,0,0,0,0,0,0,0,NA,NA,"06/04/2020"
"ORAN",31,83,9,6,0,77,22,40,0,0,7,24,12,17,2,"06/04/2020"
"EL BAYADH",32,1,1,0,0,1,0,0,0,0,0,0,0,NA,NA,"06/04/2020"
"ILLIZI",33,2,0,0,0,2,0,0,0,0,0,0,0,NA,NA,"06/04/2020"
"BORDJ BOU ARRERIDJ",34,28,1,7,0,21,2,4,0,0,1,2,0,2,NA,"06/04/2020"
"BOUMERDES",35,17,1,3,1,13,2,2,0,0,1,1,0,1,1,"06/04/2020"
"EL-TARF",36,4,0,0,0,4,0,2,0,0,0,0,1,1,NA,"06/04/2020"
"TINDOUF",37,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,"06/04/2020"
"TISSEMSILT",38,6,4,2,1,3,0,1,0,0,0,0,1,NA,NA,"06/04/2020"
"EL OUED",39,16,0,3,0,13,2,3,0,0,0,0,2,1,1,"06/04/2020"
"KHENCHELA",40,4,1,1,0,2,0,2,0,0,0,0,0,1,1,"06/04/2020"
"SOUK-AHRAS",41,6,0,1,0,5,1,1,0,0,0,1,0,1,NA,"06/04/2020"
"TIPAZA",42,36,0,5,0,31,3,6,0,0,1,2,2,2,1,"06/04/2020"
"MILA",43,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,"06/04/2020"
"AIN DEFLA",44,28,0,5,0,23,0,2,0,0,0,0,1,NA,NA,"06/04/2020"
"NAAMA",45,1,1,0,0,1,0,0,0,0,0,0,0,NA,NA,"06/04/2020"
"AIN-TEMOUCHENT",46,8,1,2,0,6,0,1,0,0,0,0,0,1,NA,"06/04/2020"
"GHARDAIA",47,2,0,1,0,1,0,1,0,0,0,0,1,NA,NA,"06/04/2020"
"RELIZANE",48,9,0,2,0,7,0,1,0,0,0,0,1,0,NA,"06/04/2020"
