"NOM_WILAYA","WILAYA","Confirmés","Nouveaux cas","Décés","Récupéré","Hospitalisés","Femelle","Male","Moin de 1 ans","1-14 ans","15-24 ans","25-49 ans","50-59 ans","sup 60 ans","NP","date"
"ADRAR",1,35,0,2,0,33,0,2,0,0,1,1,0,NA,NA,"29/04/2020"
"CHLEF",2,49,0,1,0,48,0,1,0,0,0,0,0,1,NA,"29/04/2020"
"LAGHOUAT",3,26,1,0,0,26,0,1,0,0,0,0,1,NA,NA,"29/04/2020"
"OUM EL BOUAGHI",4,70,7,5,0,65,2,0,0,0,0,1,0,1,NA,"29/04/2020"
"BATNA",5,33,7,4,0,29,4,3,0,0,0,0,2,1,2,"29/04/2020"
"BEJAIA",6,127,3,14,1,112,2,3,0,0,0,2,1,1,NA,"29/04/2020"
"BISKRA",7,56,1,6,2,48,0,1,0,0,0,0,0,1,NA,"29/04/2020"
"BECHAR",8,39,5,0,0,39,0,0,0,0,0,0,0,NA,NA,"29/04/2020"
"BLIDA",9,786,14,107,32,647,180,205,0,7,11,135,74,142,16,"29/04/2020"
"BOUIRA",10,25,1,3,0,22,2,1,0,0,0,0,2,1,NA,"29/04/2020"
"TAMENGHASSET",11,3,2,0,0,3,0,0,0,0,0,0,0,NA,NA,"29/04/2020"
"TEBESSA",12,30,5,3,0,27,0,0,0,0,0,0,0,NA,NA,"29/04/2020"
"TLEMCEN",13,90,11,6,0,84,2,5,0,0,0,1,2,2,1,"29/04/2020"
"TIARET",14,69,14,4,0,65,0,0,0,0,0,0,0,NA,NA,"29/04/2020"
"TIZI OUZOU",15,104,1,14,2,88,16,24,0,0,2,13,3,21,NA,"29/04/2020"
"ALGER",16,502,8,105,11,386,61,93,0,1,0,51,37,59,6,"29/04/2020"
"DJELFA",17,54,2,4,0,50,1,0,0,0,0,0,0,1,NA,"29/04/2020"
"JIJEL",18,45,2,5,0,40,1,1,0,0,0,0,1,1,NA,"29/04/2020"
"SETIF",19,193,12,14,2,177,3,4,0,0,1,1,2,1,NA,"29/04/2020"
"SAIDA",20,4,0,0,0,4,0,0,0,0,0,0,0,NA,NA,"29/04/2020"
"SKIKDA",21,43,6,4,3,36,3,3,0,0,0,1,1,1,1,"29/04/2020"
"SIDI BEL ABBES",22,44,0,6,0,38,1,1,0,0,0,0,1,1,NA,"29/04/2020"
"ANNABA",23,25,0,4,3,18,2,4,0,0,1,0,1,1,1,"29/04/2020"
"GUELMA",24,22,3,1,0,21,1,1,0,0,0,0,0,1,NA,"29/04/2020"
"CONSTANTINE",25,158,10,9,0,149,2,1,0,0,0,0,0,2,1,"29/04/2020"
"MEDEA",26,59,4,10,1,48,2,3,0,0,0,1,1,1,1,"29/04/2020"
"MOSTAGANEM",27,58,1,3,0,55,2,1,0,0,0,1,1,NA,NA,"29/04/2020"
"M'SILA",28,22,4,7,0,15,0,0,0,0,0,0,0,NA,NA,"29/04/2020"
"MASCARA",29,45,3,4,2,39,2,1,0,0,0,0,1,1,NA,"29/04/2020"
"OUARGLA",30,61,1,6,1,54,0,0,0,0,0,0,0,NA,NA,"29/04/2020"
"ORAN",31,239,10,13,0,226,22,40,0,0,7,24,12,17,2,"29/04/2020"
"EL BAYADH",32,3,0,0,0,3,0,0,0,0,0,0,0,NA,NA,"29/04/2020"
"ILLIZI",33,2,0,0,0,2,0,0,0,0,0,0,0,NA,NA,"29/04/2020"
"BORDJ BOU ARRERIDJ",34,91,3,19,0,72,2,4,0,0,1,2,0,2,NA,"29/04/2020"
"BOUMERDES",35,46,2,8,1,37,2,2,0,0,1,1,0,1,1,"29/04/2020"
"EL-TARF",36,16,3,0,0,16,0,2,0,0,0,0,1,1,NA,"29/04/2020"
"TINDOUF",37,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,"29/04/2020"
"TISSEMSILT",38,46,0,2,1,43,0,1,0,0,0,0,1,NA,NA,"29/04/2020"
"EL OUED",39,38,0,8,0,30,2,3,0,0,0,0,2,1,1,"29/04/2020"
"KHENCHELA",40,33,3,2,0,31,0,2,0,0,0,0,0,1,1,"29/04/2020"
"SOUK-AHRAS",41,13,1,1,0,12,1,1,0,0,0,1,0,1,NA,"29/04/2020"
"TIPAZA",42,138,9,23,0,115,3,6,0,0,1,2,2,2,1,"29/04/2020"
"MILA",43,12,0,1,0,11,0,0,0,0,0,0,0,NA,NA,"29/04/2020"
"AIN DEFLA",44,168,31,5,0,163,0,2,0,0,0,0,1,NA,NA,"29/04/2020"
"NAAMA",45,3,0,0,0,3,0,0,0,0,0,0,0,NA,NA,"29/04/2020"
"AIN-TEMOUCHENT",46,41,3,4,0,37,0,1,0,0,0,0,0,1,NA,"29/04/2020"
"GHARDAIA",47,56,5,4,0,52,0,1,0,0,0,0,1,NA,NA,"29/04/2020"
"RELIZANE",48,26,1,3,0,23,0,1,0,0,0,0,1,0,NA,"29/04/2020"
