"NOM_WILAYA","WILAYA","Confirmés","Nouveaux cas","Décés","Récupéré","Hospitalisés","Femelle","Male","Moin de 1 ans","1-14 ans","15-24 ans","25-49 ans","50-59 ans","sup 60 ans","NP","date"
"ADRAR",1,51,5,2,0,49,0,2,0,0,1,1,0,NA,NA,"05/05/2020"
"CHLEF",2,55,6,1,0,54,0,1,0,0,0,0,0,1,NA,"05/05/2020"
"LAGHOUAT",3,40,6,0,0,40,0,1,0,0,0,0,1,NA,NA,"05/05/2020"
"OUM EL BOUAGHI",4,86,11,5,0,81,2,0,0,0,0,1,0,1,NA,"05/05/2020"
"BATNA",5,51,2,4,0,47,4,3,0,0,0,0,2,1,2,"05/05/2020"
"BEJAIA",6,138,3,14,1,123,2,3,0,0,0,2,1,1,NA,"05/05/2020"
"BISKRA",7,67,2,6,2,59,0,1,0,0,0,0,0,1,NA,"05/05/2020"
"BECHAR",8,52,10,0,0,52,0,0,0,0,0,0,0,NA,NA,"05/05/2020"
"BLIDA",9,846,7,108,32,706,180,205,0,7,11,135,74,142,16,"05/05/2020"
"BOUIRA",10,28,0,3,0,25,2,1,0,0,0,0,2,1,NA,"05/05/2020"
"TAMENGHASSET",11,3,0,0,0,3,0,0,0,0,0,0,0,NA,NA,"05/05/2020"
"TEBESSA",12,34,1,3,0,31,0,0,0,0,0,0,0,NA,NA,"05/05/2020"
"TLEMCEN",13,128,11,6,0,122,2,5,0,0,0,1,2,2,1,"05/05/2020"
"TIARET",14,84,0,5,0,79,0,0,0,0,0,0,0,NA,NA,"05/05/2020"
"TIZI OUZOU",15,108,2,15,2,91,16,24,0,0,2,13,3,21,NA,"05/05/2020"
"ALGER",16,543,7,111,11,421,61,93,0,1,0,51,37,59,6,"05/05/2020"
"DJELFA",17,70,0,5,0,64,1,0,0,0,0,0,0,1,NA,"05/05/2020"
"JIJEL",18,46,0,5,0,41,1,1,0,0,0,0,1,1,NA,"05/05/2020"
"SETIF",19,234,18,17,2,215,3,4,0,0,1,1,2,1,NA,"05/05/2020"
"SAIDA",20,5,0,0,0,5,0,0,0,0,0,0,0,NA,NA,"05/05/2020"
"SKIKDA",21,53,2,4,3,46,3,3,0,0,0,1,1,1,1,"05/05/2020"
"SIDI BEL ABBES",22,51,0,6,0,45,1,1,0,0,0,0,1,1,NA,"05/05/2020"
"ANNABA",23,81,0,4,3,74,2,4,0,0,1,0,1,1,1,"05/05/2020"
"GUELMA",24,28,4,1,0,27,1,1,0,0,0,0,0,1,NA,"05/05/2020"
"CONSTANTINE",25,198,13,10,0,188,2,1,0,0,0,0,0,2,1,"05/05/2020"
"MEDEA",26,106,18,10,1,95,2,3,0,0,0,1,1,1,1,"05/05/2020"
"MOSTAGANEM",27,60,0,3,0,57,2,1,0,0,0,1,1,NA,NA,"05/05/2020"
"M'SILA",28,26,0,7,0,19,0,0,0,0,0,0,0,NA,NA,"05/05/2020"
"MASCARA",29,54,2,4,2,48,2,1,0,0,0,0,1,1,NA,"05/05/2020"
"OUARGLA",30,88,0,8,1,79,0,0,0,0,0,0,0,NA,NA,"05/05/2020"
"ORAN",31,261,3,13,0,248,22,40,0,0,7,24,12,17,2,"05/05/2020"
"EL BAYADH",32,3,0,0,0,3,0,0,0,0,0,0,0,NA,NA,"05/05/2020"
"ILLIZI",33,2,0,0,0,2,0,0,0,0,0,0,0,NA,NA,"05/05/2020"
"BORDJ BOU ARRERIDJ",34,164,14,23,0,141,2,4,0,0,1,2,0,2,NA,"05/05/2020"
"BOUMERDES",35,52,1,8,1,43,2,2,0,0,1,1,0,1,1,"05/05/2020"
"EL-TARF",36,16,0,0,0,16,0,2,0,0,0,0,1,1,NA,"05/05/2020"
"TINDOUF",37,9,0,0,0,9,0,0,0,0,0,0,0,NA,NA,"05/05/2020"
"TISSEMSILT",38,51,4,2,1,48,0,1,0,0,0,0,1,NA,NA,"05/05/2020"
"EL OUED",39,42,2,8,0,34,2,3,0,0,0,0,2,1,1,"05/05/2020"
"KHENCHELA",40,46,0,2,0,44,0,2,0,0,0,0,0,1,1,"05/05/2020"
"SOUK-AHRAS",41,15,0,1,0,14,1,1,0,0,0,1,0,1,NA,"05/05/2020"
"TIPAZA",42,175,6,24,0,151,3,6,0,0,1,2,2,2,1,"05/05/2020"
"MILA",43,16,0,1,0,15,0,0,0,0,0,0,0,NA,NA,"05/05/2020"
"AIN DEFLA",44,224,10,5,0,219,0,2,0,0,0,0,1,NA,NA,"05/05/2020"
"NAAMA",45,8,0,0,0,8,0,0,0,0,0,0,0,NA,NA,"05/05/2020"
"AIN-TEMOUCHENT",46,46,1,4,0,42,0,1,0,0,0,0,0,1,NA,"05/05/2020"
"GHARDAIA",47,68,0,4,0,64,0,1,0,0,0,0,1,NA,NA,"05/05/2020"
"RELIZANE",48,36,3,3,0,33,0,1,0,0,0,0,1,0,NA,"05/05/2020"
