"NOM_WILAYA","WILAYA","Confirmés","Nouveaux cas","Décés","Récupéré","Hospitalisés","Femelle","Male","Moin de 1 ans","1-14 ans","15-24 ans","25-49 ans","50-59 ans","sup 60 ans","NP","date"
"ADRAR",1,6,0,1,0,5,0,2,0,0,1,1,0,NA,NA,"15/04/2020"
"CHLEF",2,44,0,1,0,43,0,1,0,0,0,0,0,1,NA,"15/04/2020"
"LAGHOUAT",3,12,0,0,0,12,0,1,0,0,0,0,1,NA,NA,"15/04/2020"
"OUM EL BOUAGHI",4,18,0,4,0,14,2,0,0,0,0,1,0,1,NA,"15/04/2020"
"BATNA",5,22,0,4,0,18,4,3,0,0,0,0,2,1,2,"15/04/2020"
"BEJAIA",6,84,0,11,1,72,2,3,0,0,0,2,1,1,NA,"15/04/2020"
"BISKRA",7,11,0,3,2,6,0,1,0,0,0,0,0,1,NA,"15/04/2020"
"BECHAR",8,10,0,0,0,10,0,0,0,0,0,0,0,NA,NA,"15/04/2020"
"BLIDA",9,597,2,86,32,479,180,205,0,7,11,135,74,142,16,"15/04/2020"
"BOUIRA",10,16,0,2,0,14,2,1,0,0,0,0,2,1,NA,"15/04/2020"
"TAMENGHASSET",11,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,"15/04/2020"
"TEBESSA",12,10,0,2,0,8,0,0,0,0,0,0,0,NA,NA,"15/04/2020"
"TLEMCEN",13,38,0,6,0,32,2,5,0,0,0,1,2,2,1,"15/04/2020"
"TIARET",14,9,0,1,0,8,0,0,0,0,0,0,0,NA,NA,"15/04/2020"
"TIZI OUZOU",15,67,0,8,2,57,16,24,0,0,2,13,3,21,NA,"15/04/2020"
"ALGER",16,380,4,90,11,279,61,93,0,1,0,51,37,59,6,"15/04/2020"
"DJELFA",17,33,0,2,0,31,1,0,0,0,0,0,0,1,NA,"15/04/2020"
"JIJEL",18,24,1,4,0,20,1,1,0,0,0,0,1,1,NA,"15/04/2020"
"SETIF",19,91,0,8,2,81,3,4,0,0,1,1,2,1,NA,"15/04/2020"
"SAIDA",20,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,"15/04/2020"
"SKIKDA",21,23,0,1,3,19,3,3,0,0,0,1,1,1,1,"15/04/2020"
"SIDI BEL ABBES",22,23,1,5,0,18,1,1,0,0,0,0,1,1,NA,"15/04/2020"
"ANNABA",23,14,0,2,3,9,2,4,0,0,1,0,1,1,1,"15/04/2020"
"GUELMA",24,6,0,0,0,6,1,1,0,0,0,0,0,1,NA,"15/04/2020"
"CONSTANTINE",25,40,1,8,0,32,2,1,0,0,0,0,0,2,1,"15/04/2020"
"MEDEA",26,28,0,8,1,19,2,3,0,0,0,1,1,1,1,"15/04/2020"
"MOSTAGANEM",27,36,0,3,0,33,2,1,0,0,0,1,1,NA,NA,"15/04/2020"
"M'SILA",28,10,0,6,0,4,0,0,0,0,0,0,0,NA,NA,"15/04/2020"
"MASCARA",29,20,0,4,2,14,2,1,0,0,0,0,1,1,NA,"15/04/2020"
"OUARGLA",30,14,0,1,1,12,0,0,0,0,0,0,0,NA,NA,"15/04/2020"
"ORAN",31,145,1,11,0,134,22,40,0,0,7,24,12,17,2,"15/04/2020"
"EL BAYADH",32,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,"15/04/2020"
"ILLIZI",33,2,0,0,0,2,0,0,0,0,0,0,0,NA,NA,"15/04/2020"
"BORDJ BOU ARRERIDJ",34,41,0,10,0,31,2,4,0,0,1,2,0,2,NA,"15/04/2020"
"BOUMERDES",35,29,0,6,1,22,2,2,0,0,1,1,0,1,1,"15/04/2020"
"EL-TARF",36,4,0,0,0,4,0,2,0,0,0,0,1,1,NA,"15/04/2020"
"TINDOUF",37,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,"15/04/2020"
"TISSEMSILT",38,27,0,2,1,24,0,1,0,0,0,0,1,NA,NA,"15/04/2020"
"EL OUED",39,23,0,7,0,16,2,3,0,0,0,0,2,1,1,"15/04/2020"
"KHENCHELA",40,12,0,1,0,11,0,2,0,0,0,0,0,1,1,"15/04/2020"
"SOUK-AHRAS",41,6,0,1,0,5,1,1,0,0,0,1,0,1,NA,"15/04/2020"
"TIPAZA",42,70,0,14,0,56,3,6,0,0,1,2,2,2,1,"15/04/2020"
"MILA",43,4,0,1,0,3,0,0,0,0,0,0,0,NA,NA,"15/04/2020"
"AIN DEFLA",44,63,0,5,0,58,0,2,0,0,0,0,1,NA,NA,"15/04/2020"
"NAAMA",45,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,"15/04/2020"
"AIN-TEMOUCHENT",46,16,0,2,0,14,0,1,0,0,0,0,0,1,NA,"15/04/2020"
"GHARDAIA",47,18,0,3,0,15,0,1,0,0,0,0,1,NA,NA,"15/04/2020"
"RELIZANE",48,10,0,2,0,8,0,1,0,0,0,0,1,0,NA,"15/04/2020"
