"NOM_WILAYA","WILAYA","Confirmés","Nouveaux cas","Décés","Récupéré","Hospitalisés","Femelle","Male","Moin de 1 ans","1-14 ans","15-24 ans","25-49 ans","50-59 ans","sup 60 ans","NP","date"
"ADRAR",1,15,0,1,0,14,0,2,0,0,1,1,0,NA,NA,"20/04/2020"
"CHLEF",2,49,4,1,0,48,0,1,0,0,0,0,0,1,NA,"20/04/2020"
"LAGHOUAT",3,16,3,0,0,16,0,1,0,0,0,0,1,NA,NA,"20/04/2020"
"OUM EL BOUAGHI",4,33,1,4,0,29,2,0,0,0,0,1,0,1,NA,"20/04/2020"
"BATNA",5,26,0,4,0,22,4,3,0,0,0,0,2,1,2,"20/04/2020"
"BEJAIA",6,100,3,13,1,86,2,3,0,0,0,2,1,1,NA,"20/04/2020"
"BISKRA",7,20,2,5,2,13,0,1,0,0,0,0,0,1,NA,"20/04/2020"
"BECHAR",8,14,0,0,0,14,0,0,0,0,0,0,0,NA,NA,"20/04/2020"
"BLIDA",9,677,8,97,32,548,180,205,0,7,11,135,74,142,16,"20/04/2020"
"BOUIRA",10,18,0,2,0,16,2,1,0,0,0,0,2,1,NA,"20/04/2020"
"TAMENGHASSET",11,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,"20/04/2020"
"TEBESSA",12,12,1,2,0,10,0,0,0,0,0,0,0,NA,NA,"20/04/2020"
"TLEMCEN",13,44,0,6,0,38,2,5,0,0,0,1,2,2,1,"20/04/2020"
"TIARET",14,15,0,2,0,13,0,0,0,0,0,0,0,NA,NA,"20/04/2020"
"TIZI OUZOU",15,95,4,11,2,82,16,24,0,0,2,13,3,21,NA,"20/04/2020"
"ALGER",16,455,10,97,11,347,61,93,0,1,0,51,37,59,6,"20/04/2020"
"DJELFA",17,42,0,4,0,38,1,0,0,0,0,0,0,1,NA,"20/04/2020"
"JIJEL",18,31,1,4,0,26,1,1,0,0,0,0,1,1,NA,"20/04/2020"
"SETIF",19,112,1,9,2,101,3,4,0,0,1,1,2,1,NA,"20/04/2020"
"SAIDA",20,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,"20/04/2020"
"SKIKDA",21,30,1,3,3,24,3,3,0,0,0,1,1,1,1,"20/04/2020"
"SIDI BEL ABBES",22,26,1,5,0,21,1,1,0,0,0,0,1,1,NA,"20/04/2020"
"ANNABA",23,20,0,3,3,14,2,4,0,0,1,0,1,1,1,"20/04/2020"
"GUELMA",24,11,1,0,0,11,1,1,0,0,0,0,0,1,NA,"20/04/2020"
"CONSTANTINE",25,72,14,9,0,63,2,1,0,0,0,0,0,2,1,"20/04/2020"
"MEDEA",26,41,0,9,1,31,2,3,0,0,0,1,1,1,1,"20/04/2020"
"MOSTAGANEM",27,51,4,3,0,48,2,1,0,0,0,1,1,NA,NA,"20/04/2020"
"M'SILA",28,15,0,6,0,9,0,0,0,0,0,0,0,NA,NA,"20/04/2020"
"MASCARA",29,24,2,4,2,18,2,1,0,0,0,0,1,1,NA,"20/04/2020"
"OUARGLA",30,34,0,3,1,30,0,0,0,0,0,0,0,NA,NA,"20/04/2020"
"ORAN",31,160,7,12,0,148,22,40,0,0,7,24,12,17,2,"20/04/2020"
"EL BAYADH",32,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,"20/04/2020"
"ILLIZI",33,2,0,0,0,2,0,0,0,0,0,0,0,NA,NA,"20/04/2020"
"BORDJ BOU ARRERIDJ",34,62,2,14,0,48,2,4,0,0,1,2,0,2,NA,"20/04/2020"
"BOUMERDES",35,36,1,6,1,28,2,2,0,0,1,1,0,1,1,"20/04/2020"
"EL-TARF",36,8,1,0,0,8,0,2,0,0,0,0,1,1,NA,"20/04/2020"
"TINDOUF",37,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,"20/04/2020"
"TISSEMSILT",38,29,0,2,1,26,0,1,0,0,0,0,1,NA,NA,"20/04/2020"
"EL OUED",39,31,0,7,0,24,2,3,0,0,0,0,2,1,1,"20/04/2020"
"KHENCHELA",40,22,0,2,0,20,0,2,0,0,0,0,0,1,1,"20/04/2020"
"SOUK-AHRAS",41,7,0,1,0,6,1,1,0,0,0,1,0,1,NA,"20/04/2020"
"TIPAZA",42,97,7,18,0,79,3,6,0,0,1,2,2,2,1,"20/04/2020"
"MILA",43,9,2,1,0,8,0,0,0,0,0,0,0,NA,NA,"20/04/2020"
"AIN DEFLA",44,91,8,5,0,86,0,2,0,0,0,0,1,NA,NA,"20/04/2020"
"NAAMA",45,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,"20/04/2020"
"AIN-TEMOUCHENT",46,18,0,2,0,16,0,1,0,0,0,0,0,1,NA,"20/04/2020"
"GHARDAIA",47,32,0,4,0,28,0,1,0,0,0,0,1,NA,NA,"20/04/2020"
"RELIZANE",48,12,0,3,0,9,0,1,0,0,0,0,1,0,NA,"20/04/2020"
