"NOM_WILAYA","WILAYA","Confirmés","Nouveaux cas","Décés","Récupéré","Hospitalisés","Femelle","Male","Moin de 1 ans","1-14 ans","15-24 ans","25-49 ans","50-59 ans","sup 60 ans","NP","date"
"ADRAR",1,25,0,1,0,24,0,2,0,0,1,1,0,NA,NA,"25/04/2020"
"CHLEF",2,49,0,1,0,48,0,1,0,0,0,0,0,1,NA,"25/04/2020"
"LAGHOUAT",3,20,0,0,0,20,0,1,0,0,0,0,1,NA,NA,"25/04/2020"
"OUM EL BOUAGHI",4,49,9,4,0,45,2,0,0,0,0,1,0,1,NA,"25/04/2020"
"BATNA",5,26,0,4,0,22,4,3,0,0,0,0,2,1,2,"25/04/2020"
"BEJAIA",6,115,7,14,1,100,2,3,0,0,0,2,1,1,NA,"25/04/2020"
"BISKRA",7,44,2,6,2,36,0,1,0,0,0,0,0,1,NA,"25/04/2020"
"BECHAR",8,14,0,0,0,14,0,0,0,0,0,0,0,NA,NA,"25/04/2020"
"BLIDA",9,749,19,102,32,615,180,205,0,7,11,135,74,142,16,"25/04/2020"
"BOUIRA",10,20,0,2,0,18,2,1,0,0,0,0,2,1,NA,"25/04/2020"
"TAMENGHASSET",11,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,"25/04/2020"
"TEBESSA",12,20,0,2,0,18,0,0,0,0,0,0,0,NA,NA,"25/04/2020"
"TLEMCEN",13,61,0,6,0,55,2,5,0,0,0,1,2,2,1,"25/04/2020"
"TIARET",14,47,1,2,0,45,0,0,0,0,0,0,0,NA,NA,"25/04/2020"
"TIZI OUZOU",15,98,1,14,2,82,16,24,0,0,2,13,3,21,NA,"25/04/2020"
"ALGER",16,472,0,103,11,358,61,93,0,1,0,51,37,59,6,"25/04/2020"
"DJELFA",17,45,0,4,0,41,1,0,0,0,0,0,0,1,NA,"25/04/2020"
"JIJEL",18,42,8,5,0,37,1,1,0,0,0,0,1,1,NA,"25/04/2020"
"SETIF",19,157,17,10,2,145,3,4,0,0,1,1,2,1,NA,"25/04/2020"
"SAIDA",20,4,0,0,0,4,0,0,0,0,0,0,0,NA,NA,"25/04/2020"
"SKIKDA",21,34,1,4,3,27,3,3,0,0,0,1,1,1,1,"25/04/2020"
"SIDI BEL ABBES",22,38,6,6,0,32,1,1,0,0,0,0,1,1,NA,"25/04/2020"
"ANNABA",23,25,1,3,3,19,2,4,0,0,1,0,1,1,1,"25/04/2020"
"GUELMA",24,16,0,1,0,15,1,1,0,0,0,0,0,1,NA,"25/04/2020"
"CONSTANTINE",25,114,12,9,0,105,2,1,0,0,0,0,0,2,1,"25/04/2020"
"MEDEA",26,44,0,10,1,33,2,3,0,0,0,1,1,1,1,"25/04/2020"
"MOSTAGANEM",27,56,0,3,0,53,2,1,0,0,0,1,1,NA,NA,"25/04/2020"
"M'SILA",28,17,0,7,0,10,0,0,0,0,0,0,0,NA,NA,"25/04/2020"
"MASCARA",29,39,0,4,2,33,2,1,0,0,0,0,1,1,NA,"25/04/2020"
"OUARGLA",30,47,7,5,1,41,0,0,0,0,0,0,0,NA,NA,"25/04/2020"
"ORAN",31,192,6,13,0,179,22,40,0,0,7,24,12,17,2,"25/04/2020"
"EL BAYADH",32,3,0,0,0,3,0,0,0,0,0,0,0,NA,NA,"25/04/2020"
"ILLIZI",33,2,0,0,0,2,0,0,0,0,0,0,0,NA,NA,"25/04/2020"
"BORDJ BOU ARRERIDJ",34,72,2,16,0,56,2,4,0,0,1,2,0,2,NA,"25/04/2020"
"BOUMERDES",35,42,0,7,1,34,2,2,0,0,1,1,0,1,1,"25/04/2020"
"EL-TARF",36,10,0,0,0,10,0,2,0,0,0,0,1,1,NA,"25/04/2020"
"TINDOUF",37,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,"25/04/2020"
"TISSEMSILT",38,42,0,2,1,39,0,1,0,0,0,0,1,NA,NA,"25/04/2020"
"EL OUED",39,31,0,8,0,23,2,3,0,0,0,0,2,1,1,"25/04/2020"
"KHENCHELA",40,25,0,2,0,23,0,2,0,0,0,0,0,1,1,"25/04/2020"
"SOUK-AHRAS",41,8,1,1,0,7,1,1,0,0,0,1,0,1,NA,"25/04/2020"
"TIPAZA",42,119,9,21,0,98,3,6,0,0,1,2,2,2,1,"25/04/2020"
"MILA",43,11,2,1,0,10,0,0,0,0,0,0,0,NA,NA,"25/04/2020"
"AIN DEFLA",44,122,9,5,0,117,0,2,0,0,0,0,1,NA,NA,"25/04/2020"
"NAAMA",45,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,"25/04/2020"
"AIN-TEMOUCHENT",46,24,0,4,0,20,0,1,0,0,0,0,0,1,NA,"25/04/2020"
"GHARDAIA",47,46,9,4,0,42,0,1,0,0,0,0,1,NA,NA,"25/04/2020"
"RELIZANE",48,18,0,3,0,15,0,1,0,0,0,0,1,0,NA,"25/04/2020"
