"NOM_WILAYA","WILAYA","Confirmés","Nouveaux cas","Décés","Récupéré","Hospitalisés","Femelle","Male","Moin de 1 ans","1-14 ans","15-24 ans","25-49 ans","50-59 ans","sup 60 ans","NP","date"
"ADRAR",1,4,0,1,0,3,0,2,0,0,1,1,0,NA,NA,"10/04/2020"
"CHLEF",2,30,3,1,0,29,0,1,0,0,0,0,0,1,NA,"10/04/2020"
"LAGHOUAT",3,8,5,0,0,8,0,1,0,0,0,0,1,NA,NA,"10/04/2020"
"OUM EL BOUAGHI",4,17,2,3,0,14,2,0,0,0,0,1,0,1,NA,"10/04/2020"
"BATNA",5,18,0,4,0,14,4,3,0,0,0,0,2,1,2,"10/04/2020"
"BEJAIA",6,77,3,8,1,68,2,3,0,0,0,2,1,1,NA,"10/04/2020"
"BISKRA",7,10,0,3,2,5,0,1,0,0,0,0,0,1,NA,"10/04/2020"
"BECHAR",8,10,0,0,0,10,0,0,0,0,0,0,0,NA,NA,"10/04/2020"
"BLIDA",9,529,21,69,32,428,180,205,0,7,11,135,74,142,16,"10/04/2020"
"BOUIRA",10,13,1,1,0,12,2,1,0,0,0,0,2,1,NA,"10/04/2020"
"TAMENGHASSET",11,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,"10/04/2020"
"TEBESSA",12,6,0,2,0,4,0,0,0,0,0,0,0,NA,NA,"10/04/2020"
"TLEMCEN",13,38,0,2,0,36,2,5,0,0,0,1,2,2,1,"10/04/2020"
"TIARET",14,4,0,1,0,3,0,0,0,0,0,0,0,NA,NA,"10/04/2020"
"TIZI OUZOU",15,47,0,8,2,37,16,24,0,0,2,13,3,21,NA,"10/04/2020"
"ALGER",16,310,19,68,11,231,61,93,0,1,0,51,37,59,6,"10/04/2020"
"DJELFA",17,21,0,2,0,19,1,0,0,0,0,0,0,1,NA,"10/04/2020"
"JIJEL",18,21,3,3,0,18,1,1,0,0,0,0,1,1,NA,"10/04/2020"
"SETIF",19,80,4,8,2,70,3,4,0,0,1,1,2,1,NA,"10/04/2020"
"SAIDA",20,1,1,0,0,1,0,0,0,0,0,0,0,NA,NA,"10/04/2020"
"SKIKDA",21,21,0,0,3,18,3,3,0,0,0,1,1,1,1,"10/04/2020"
"SIDI BEL ABBES",22,17,1,0,0,17,1,1,0,0,0,0,1,1,NA,"10/04/2020"
"ANNABA",23,14,0,2,3,9,2,4,0,0,1,0,1,1,1,"10/04/2020"
"GUELMA",24,6,0,0,0,6,1,1,0,0,0,0,0,1,NA,"10/04/2020"
"CONSTANTINE",25,33,2,5,0,28,2,1,0,0,0,0,0,2,1,"10/04/2020"
"MEDEA",26,26,0,8,1,17,2,3,0,0,0,1,1,1,1,"10/04/2020"
"MOSTAGANEM",27,29,2,2,0,27,2,1,0,0,0,1,1,NA,NA,"10/04/2020"
"M'SILA",28,8,0,4,0,4,0,0,0,0,0,0,0,NA,NA,"10/04/2020"
"MASCARA",29,20,0,3,2,15,2,1,0,0,0,0,1,1,NA,"10/04/2020"
"OUARGLA",30,4,0,1,1,2,0,0,0,0,0,0,0,NA,NA,"10/04/2020"
"ORAN",31,104,3,9,0,95,22,40,0,0,7,24,12,17,2,"10/04/2020"
"EL BAYADH",32,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,"10/04/2020"
"ILLIZI",33,2,0,0,0,2,0,0,0,0,0,0,0,NA,NA,"10/04/2020"
"BORDJ BOU ARRERIDJ",34,37,5,8,0,29,2,4,0,0,1,2,0,2,NA,"10/04/2020"
"BOUMERDES",35,25,6,5,1,19,2,2,0,0,1,1,0,1,1,"10/04/2020"
"EL-TARF",36,4,0,0,0,4,0,2,0,0,0,0,1,1,NA,"10/04/2020"
"TINDOUF",37,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,"10/04/2020"
"TISSEMSILT",38,15,1,2,1,12,0,1,0,0,0,0,1,NA,NA,"10/04/2020"
"EL OUED",39,16,0,4,0,12,2,3,0,0,0,0,2,1,1,"10/04/2020"
"KHENCHELA",40,6,0,1,0,5,0,2,0,0,0,0,0,1,1,"10/04/2020"
"SOUK-AHRAS",41,6,0,1,0,5,1,1,0,0,0,1,0,1,NA,"10/04/2020"
"TIPAZA",42,55,3,7,0,48,3,6,0,0,1,2,2,2,1,"10/04/2020"
"MILA",43,3,0,0,0,3,0,0,0,0,0,0,0,NA,NA,"10/04/2020"
"AIN DEFLA",44,40,7,5,0,35,0,2,0,0,0,0,1,NA,NA,"10/04/2020"
"NAAMA",45,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,"10/04/2020"
"AIN-TEMOUCHENT",46,13,3,2,0,11,0,1,0,0,0,0,0,1,NA,"10/04/2020"
"GHARDAIA",47,2,0,1,0,1,0,1,0,0,0,0,1,NA,NA,"10/04/2020"
"RELIZANE",48,9,0,2,0,7,0,1,0,0,0,0,1,0,NA,"10/04/2020"
