"NOM_WILAYA","WILAYA","Confirmés","Nouveaux cas","Décés","Récupéré","Hospitalisés","Femelle","Male","Moin de 1 ans","1-14 ans","15-24 ans","25-49 ans","50-59 ans","sup 60 ans","NP","date"
"ADRAR",1,46,6,2,0,44,0,2,0,0,1,1,0,NA,NA,"03/05/2020"
"CHLEF",2,49,0,1,0,48,0,1,0,0,0,0,0,1,NA,"03/05/2020"
"LAGHOUAT",3,34,4,0,0,34,0,1,0,0,0,0,1,NA,NA,"03/05/2020"
"OUM EL BOUAGHI",4,75,0,5,0,70,2,0,0,0,0,1,0,1,NA,"03/05/2020"
"BATNA",5,49,14,4,0,45,4,3,0,0,0,0,2,1,2,"03/05/2020"
"BEJAIA",6,135,1,14,1,120,2,3,0,0,0,2,1,1,NA,"03/05/2020"
"BISKRA",7,65,5,6,2,57,0,1,0,0,0,0,0,1,NA,"03/05/2020"
"BECHAR",8,42,0,0,0,42,0,0,0,0,0,0,0,NA,NA,"03/05/2020"
"BLIDA",9,839,19,108,32,699,180,205,0,7,11,135,74,142,16,"03/05/2020"
"BOUIRA",10,28,0,3,0,25,2,1,0,0,0,0,2,1,NA,"03/05/2020"
"TAMENGHASSET",11,3,0,0,0,3,0,0,0,0,0,0,0,NA,NA,"03/05/2020"
"TEBESSA",12,33,0,3,0,30,0,0,0,0,0,0,0,NA,NA,"03/05/2020"
"TLEMCEN",13,117,18,6,0,111,2,5,0,0,0,1,2,2,1,"03/05/2020"
"TIARET",14,84,3,5,0,79,0,0,0,0,0,0,0,NA,NA,"03/05/2020"
"TIZI OUZOU",15,106,1,15,2,89,16,24,0,0,2,13,3,21,NA,"03/05/2020"
"ALGER",16,536,3,110,11,415,61,93,0,1,0,51,37,59,6,"03/05/2020"
"DJELFA",17,70,7,5,0,64,1,0,0,0,0,0,0,1,NA,"03/05/2020"
"JIJEL",18,46,0,5,0,41,1,1,0,0,0,0,1,1,NA,"03/05/2020"
"SETIF",19,216,5,17,2,197,3,4,0,0,1,1,2,1,NA,"03/05/2020"
"SAIDA",20,5,0,0,0,5,0,0,0,0,0,0,0,NA,NA,"03/05/2020"
"SKIKDA",21,51,0,4,3,44,3,3,0,0,0,1,1,1,1,"03/05/2020"
"SIDI BEL ABBES",22,51,1,6,0,45,1,1,0,0,0,0,1,1,NA,"03/05/2020"
"ANNABA",23,81,14,4,3,74,2,4,0,0,1,0,1,1,1,"03/05/2020"
"GUELMA",24,24,0,1,0,23,1,1,0,0,0,0,0,1,NA,"03/05/2020"
"CONSTANTINE",25,185,0,10,0,175,2,1,0,0,0,0,0,2,1,"03/05/2020"
"MEDEA",26,88,9,10,1,77,2,3,0,0,0,1,1,1,1,"03/05/2020"
"MOSTAGANEM",27,60,0,3,0,57,2,1,0,0,0,1,1,NA,NA,"03/05/2020"
"M'SILA",28,26,4,7,0,19,0,0,0,0,0,0,0,NA,NA,"03/05/2020"
"MASCARA",29,52,1,4,2,46,2,1,0,0,0,0,1,1,NA,"03/05/2020"
"OUARGLA",30,88,21,8,1,79,0,0,0,0,0,0,0,NA,NA,"03/05/2020"
"ORAN",31,258,4,13,0,245,22,40,0,0,7,24,12,17,2,"03/05/2020"
"EL BAYADH",32,3,0,0,0,3,0,0,0,0,0,0,0,NA,NA,"03/05/2020"
"ILLIZI",33,2,0,0,0,2,0,0,0,0,0,0,0,NA,NA,"03/05/2020"
"BORDJ BOU ARRERIDJ",34,150,0,22,0,128,2,4,0,0,1,2,0,2,NA,"03/05/2020"
"BOUMERDES",35,51,0,8,1,42,2,2,0,0,1,1,0,1,1,"03/05/2020"
"EL-TARF",36,16,0,0,0,16,0,2,0,0,0,0,1,1,NA,"03/05/2020"
"TINDOUF",37,9,0,0,0,9,0,0,0,0,0,0,0,NA,NA,"03/05/2020"
"TISSEMSILT",38,47,1,2,1,44,0,1,0,0,0,0,1,NA,NA,"03/05/2020"
"EL OUED",39,40,0,8,0,32,2,3,0,0,0,0,2,1,1,"03/05/2020"
"KHENCHELA",40,46,7,2,0,44,0,2,0,0,0,0,0,1,1,"03/05/2020"
"SOUK-AHRAS",41,15,0,1,0,14,1,1,0,0,0,1,0,1,NA,"03/05/2020"
"TIPAZA",42,169,8,24,0,145,3,6,0,0,1,2,2,2,1,"03/05/2020"
"MILA",43,16,0,1,0,15,0,0,0,0,0,0,0,NA,NA,"03/05/2020"
"AIN DEFLA",44,214,9,5,0,209,0,2,0,0,0,0,1,NA,NA,"03/05/2020"
"NAAMA",45,8,5,0,0,8,0,0,0,0,0,0,0,NA,NA,"03/05/2020"
"AIN-TEMOUCHENT",46,45,1,4,0,41,0,1,0,0,0,0,0,1,NA,"03/05/2020"
"GHARDAIA",47,68,8,4,0,64,0,1,0,0,0,0,1,NA,NA,"03/05/2020"
"RELIZANE",48,33,0,3,0,30,0,1,0,0,0,0,1,0,NA,"03/05/2020"
