"NOM_WILAYA","WILAYA","Confirmés","Nouveaux cas","Décés","Récupéré","Hospitalisés","Femelle","Male","Moin de 1 ans","1-14 ans","15-24 ans","25-49 ans","50-59 ans","sup 60 ans","NP","date"
"ADRAR",1,14,1,1,0,13,0,2,0,0,1,1,0,NA,NA,18/04/2020
"CHLEF",2,45,0,1,0,44,0,1,0,0,0,0,0,1,NA,18/04/2020
"LAGHOUAT",3,13,1,0,0,13,0,1,0,0,0,0,1,NA,NA,18/04/2020
"OUM EL BOUAGHI",4,28,6,4,0,24,2,0,0,0,0,1,0,1,NA,18/04/2020
"BATNA",5,26,0,4,0,22,4,3,0,0,0,0,2,1,2,18/04/2020
"BEJAIA",6,96,2,13,1,82,2,3,0,0,0,2,1,1,NA,18/04/2020
"BISKRA",7,14,0,4,2,8,0,1,0,0,0,0,0,1,NA,18/04/2020
"BECHAR",8,10,0,0,0,10,0,0,0,0,0,0,0,NA,NA,18/04/2020
"BLIDA",9,663,35,94,32,537,180,205,0,7,11,135,74,142,16,18/04/2020
"BOUIRA",10,17,0,2,0,15,2,1,0,0,0,0,2,1,NA,18/04/2020
"TAMENGHASSET",11,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,18/04/2020
"TEBESSA",12,10,0,2,0,8,0,0,0,0,0,0,0,NA,NA,18/04/2020
"TLEMCEN",13,44,6,6,0,38,2,5,0,0,0,1,2,2,1,18/04/2020
"TIARET",14,14,0,1,0,13,0,0,0,0,0,0,0,NA,NA,18/04/2020
"TIZI OUZOU",15,86,1,10,2,74,16,24,0,0,2,13,3,21,NA,18/04/2020
"ALGER",16,439,12,96,11,332,61,93,0,1,0,51,37,59,6,18/04/2020
"DJELFA",17,40,5,2,0,38,1,0,0,0,0,0,0,1,NA,18/04/2020
"JIJEL",18,27,0,4,0,23,1,1,0,0,0,0,1,1,NA,18/04/2020
"SETIF",19,107,6,9,2,96,3,4,0,0,1,1,2,1,NA,18/04/2020
"SAIDA",20,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,18/04/2020
"SKIKDA",21,27,0,2,3,22,3,3,0,0,0,1,1,1,1,18/04/2020
"SIDI BEL ABBES",22,25,0,5,0,20,1,1,0,0,0,0,1,1,NA,18/04/2020
"ANNABA",23,19,2,3,3,13,2,4,0,0,1,0,1,1,1,18/04/2020
"GUELMA",24,9,1,0,0,9,1,1,0,0,0,0,0,1,NA,18/04/2020
"CONSTANTINE",25,58,1,9,0,49,2,1,0,0,0,0,0,2,1,18/04/2020
"MEDEA",26,37,2,8,1,28,2,3,0,0,0,1,1,1,1,18/04/2020
"MOSTAGANEM",27,46,0,3,0,43,2,1,0,0,0,1,1,NA,NA,18/04/2020
"M'SILA",28,13,0,6,0,7,0,0,0,0,0,0,0,NA,NA,18/04/2020
"MASCARA",29,22,0,4,2,16,2,1,0,0,0,0,1,1,NA,18/04/2020
"OUARGLA",30,26,4,3,1,22,0,0,0,0,0,0,0,NA,NA,18/04/2020
"ORAN",31,153,8,12,0,141,22,40,0,0,7,24,12,17,2,18/04/2020
"EL BAYADH",32,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,18/04/2020
"ILLIZI",33,2,0,0,0,2,0,0,0,0,0,0,0,NA,NA,18/04/2020
"BORDJ BOU ARRERIDJ",34,50,0,12,0,38,2,4,0,0,1,2,0,2,NA,18/04/2020
"BOUMERDES",35,34,1,6,1,27,2,2,0,0,1,1,0,1,1,18/04/2020
"EL-TARF",36,6,0,0,0,6,0,2,0,0,0,0,1,1,NA,18/04/2020
"TINDOUF",37,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,18/04/2020
"TISSEMSILT",38,29,0,2,1,26,0,1,0,0,0,0,1,NA,NA,18/04/2020
"EL OUED",39,30,7,7,0,23,2,3,0,0,0,0,2,1,1,18/04/2020
"KHENCHELA",40,21,2,2,0,19,0,2,0,0,0,0,0,1,1,18/04/2020
"SOUK-AHRAS",41,7,0,1,0,6,1,1,0,0,0,1,0,1,NA,18/04/2020
"TIPAZA",42,83,7,15,0,68,3,6,0,0,1,2,2,2,1,18/04/2020
"MILA",43,7,1,1,0,6,0,0,0,0,0,0,0,NA,NA,18/04/2020
"AIN DEFLA",44,75,2,5,0,70,0,2,0,0,0,0,1,NA,NA,18/04/2020
"NAAMA",45,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,18/04/2020
"AIN-TEMOUCHENT",46,18,0,2,0,16,0,1,0,0,0,0,0,1,NA,18/04/2020
"GHARDAIA",47,28,3,4,0,24,0,1,0,0,0,0,1,NA,NA,18/04/2020
"RELIZANE",48,12,0,2,0,10,0,1,0,0,0,0,1,0,NA,18/04/2020
