"NOM_WILAYA","WILAYA","Confirmés","Nouveaux cas","Décés","Récupéré","Hospitalisés","Femelle","Male","Moin de 1 ans","1-14 ans","15-24 ans","25-49 ans","50-59 ans","sup 60 ans","NP","date"
"ADRAR",1,31,6,1,0,30,0,2,0,0,1,1,0,NA,NA,"27/04/2020"
"CHLEF",2,49,0,1,0,48,0,1,0,0,0,0,0,1,NA,"27/04/2020"
"LAGHOUAT",3,23,3,0,0,23,0,1,0,0,0,0,1,NA,NA,"27/04/2020"
"OUM EL BOUAGHI",4,59,10,4,0,55,2,0,0,0,0,1,0,1,NA,"27/04/2020"
"BATNA",5,26,0,4,0,22,4,3,0,0,0,0,2,1,2,"27/04/2020"
"BEJAIA",6,116,1,14,1,101,2,3,0,0,0,2,1,1,NA,"27/04/2020"
"BISKRA",7,44,0,6,2,36,0,1,0,0,0,0,0,1,NA,"27/04/2020"
"BECHAR",8,29,15,0,0,29,0,0,0,0,0,0,0,NA,NA,"27/04/2020"
"BLIDA",9,749,0,104,32,613,180,205,0,7,11,135,74,142,16,"27/04/2020"
"BOUIRA",10,22,2,3,0,19,2,1,0,0,0,0,2,1,NA,"27/04/2020"
"TAMENGHASSET",11,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,"27/04/2020"
"TEBESSA",12,22,2,3,0,19,0,0,0,0,0,0,0,NA,NA,"27/04/2020"
"TLEMCEN",13,61,0,6,0,55,2,5,0,0,0,1,2,2,1,"27/04/2020"
"TIARET",14,52,5,2,0,50,0,0,0,0,0,0,0,NA,NA,"27/04/2020"
"TIZI OUZOU",15,99,1,14,2,83,16,24,0,0,2,13,3,21,NA,"27/04/2020"
"ALGER",16,475,3,103,11,361,61,93,0,1,0,51,37,59,6,"27/04/2020"
"DJELFA",17,48,3,4,0,44,1,0,0,0,0,0,0,1,NA,"27/04/2020"
"JIJEL",18,43,1,5,0,38,1,1,0,0,0,0,1,1,NA,"27/04/2020"
"SETIF",19,160,3,11,2,147,3,4,0,0,1,1,2,1,NA,"27/04/2020"
"SAIDA",20,4,0,0,0,4,0,0,0,0,0,0,0,NA,NA,"27/04/2020"
"SKIKDA",21,34,0,4,3,27,3,3,0,0,0,1,1,1,1,"27/04/2020"
"SIDI BEL ABBES",22,41,3,6,0,35,1,1,0,0,0,0,1,1,NA,"27/04/2020"
"ANNABA",23,25,0,3,3,19,2,4,0,0,1,0,1,1,1,"27/04/2020"
"GUELMA",24,17,1,1,0,16,1,1,0,0,0,0,0,1,NA,"27/04/2020"
"CONSTANTINE",25,130,16,9,0,121,2,1,0,0,0,0,0,2,1,"27/04/2020"
"MEDEA",26,46,2,10,1,35,2,3,0,0,0,1,1,1,1,"27/04/2020"
"MOSTAGANEM",27,56,0,3,0,53,2,1,0,0,0,1,1,NA,NA,"27/04/2020"
"M'SILA",28,17,0,7,0,10,0,0,0,0,0,0,0,NA,NA,"27/04/2020"
"MASCARA",29,39,0,4,2,33,2,1,0,0,0,0,1,1,NA,"27/04/2020"
"OUARGLA",30,53,6,5,1,47,0,0,0,0,0,0,0,NA,NA,"27/04/2020"
"ORAN",31,194,2,13,0,181,22,40,0,0,7,24,12,17,2,"27/04/2020"
"EL BAYADH",32,3,0,0,0,3,0,0,0,0,0,0,0,NA,NA,"27/04/2020"
"ILLIZI",33,2,0,0,0,2,0,0,0,0,0,0,0,NA,NA,"27/04/2020"
"BORDJ BOU ARRERIDJ",34,82,10,17,0,65,2,4,0,0,1,2,0,2,NA,"27/04/2020"
"BOUMERDES",35,42,0,7,1,34,2,2,0,0,1,1,0,1,1,"27/04/2020"
"EL-TARF",36,12,2,0,0,12,0,2,0,0,0,0,1,1,NA,"27/04/2020"
"TINDOUF",37,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,"27/04/2020"
"TISSEMSILT",38,46,4,2,1,43,0,1,0,0,0,0,1,NA,NA,"27/04/2020"
"EL OUED",39,35,4,8,0,27,2,3,0,0,0,0,2,1,1,"27/04/2020"
"KHENCHELA",40,25,0,2,0,23,0,2,0,0,0,0,0,1,1,"27/04/2020"
"SOUK-AHRAS",41,9,1,1,0,8,1,1,0,0,0,1,0,1,NA,"27/04/2020"
"TIPAZA",42,122,3,21,0,101,3,6,0,0,1,2,2,2,1,"27/04/2020"
"MILA",43,11,0,1,0,10,0,0,0,0,0,0,0,NA,NA,"27/04/2020"
"AIN DEFLA",44,126,4,5,0,121,0,2,0,0,0,0,1,NA,NA,"27/04/2020"
"NAAMA",45,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,"27/04/2020"
"AIN-TEMOUCHENT",46,31,7,4,0,27,0,1,0,0,0,0,0,1,NA,"27/04/2020"
"GHARDAIA",47,51,5,4,0,47,0,1,0,0,0,0,1,NA,NA,"27/04/2020"
"RELIZANE",48,19,1,3,0,16,0,1,0,0,0,0,1,0,NA,"27/04/2020"
