"NOM_WILAYA","WILAYA","Confirmés","Nouveaux cas","Décés","Récupéré","Hospitalisés","Femelle","Male","Moin de 1 ans","1-14 ans","15-24 ans","25-49 ans","50-59 ans","sup 60 ans","NP","date"
"ADRAR",1,4,0,1,0,3,0,2,0,0,1,1,0,NA,NA,"07/04/2020"
"CHLEF",2,25,0,1,0,24,0,1,0,0,0,0,0,1,NA,"07/04/2020"
"LAGHOUAT",3,3,0,0,0,3,0,1,0,0,0,0,1,NA,NA,"07/04/2020"
"OUM EL BOUAGHI",4,11,0,3,0,4,2,0,0,0,0,1,0,1,NA,"07/04/2020"
"BATNA",5,14,0,3,0,11,4,3,0,0,0,0,2,1,2,"07/04/2020"
"BEJAIA",6,65,3,4,1,61,2,3,0,0,0,2,1,1,NA,"07/04/2020"
"BISKRA",7,9,0,2,2,5,0,1,0,0,0,0,0,1,NA,"07/04/2020"
"BECHAR",8,6,0,0,0,6,0,0,0,0,0,0,0,NA,NA,"07/04/2020"
"BLIDA",9,490,16,53,32,405,180,205,0,7,11,135,74,142,16,"07/04/2020"
"BOUIRA",10,11,0,0,0,10,2,1,0,0,0,0,2,1,NA,"07/04/2020"
"TAMENGHASSET",11,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,"07/04/2020"
"TEBESSA",12,5,0,2,0,3,0,0,0,0,0,0,0,NA,NA,"07/04/2020"
"TLEMCEN",13,38,1,2,0,36,2,5,0,0,0,1,2,2,1,"07/04/2020"
"TIARET",14,1,0,1,0,0,0,0,0,0,0,0,0,NA,NA,"07/04/2020"
"TIZI OUZOU",15,42,1,7,2,33,16,24,0,0,2,13,3,21,NA,"07/04/2020"
"ALGER",16,251,13,46,11,194,61,93,0,1,0,51,37,59,6,"07/04/2020"
"DJELFA",17,16,2,1,0,10,1,0,0,0,0,0,0,1,NA,"07/04/2020"
"JIJEL",18,17,0,1,0,16,1,1,0,0,0,0,1,1,NA,"07/04/2020"
"SETIF",19,58,0,8,2,48,3,4,0,0,1,1,2,1,NA,"07/04/2020"
"SAIDA",20,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,"07/04/2020"
"SKIKDA",21,20,1,0,3,17,3,3,0,0,0,1,1,1,1,"07/04/2020"
"SIDI BEL ABBES",22,13,0,0,0,13,1,1,0,0,0,0,1,1,NA,"07/04/2020"
"ANNABA",23,11,0,1,3,5,2,4,0,0,1,0,1,1,1,"07/04/2020"
"GUELMA",24,5,0,0,0,2,1,1,0,0,0,0,0,1,NA,"07/04/2020"
"CONSTANTINE",25,21,0,4,0,17,2,1,0,0,0,0,0,2,1,"07/04/2020"
"MEDEA",26,26,0,8,1,17,2,3,0,0,0,1,1,1,1,"07/04/2020"
"MOSTAGANEM",27,23,1,2,0,21,2,1,0,0,0,1,1,NA,NA,"07/04/2020"
"M'SILA",28,4,0,2,0,2,0,0,0,0,0,0,0,NA,NA,"07/04/2020"
"MASCARA",29,16,0,0,2,13,2,1,0,0,0,0,1,1,NA,"07/04/2020"
"OUARGLA",30,4,0,1,1,2,0,0,0,0,0,0,0,NA,NA,"07/04/2020"
"ORAN",31,86,3,6,0,80,22,40,0,0,7,24,12,17,2,"07/04/2020"
"EL BAYADH",32,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,"07/04/2020"
"ILLIZI",33,2,0,0,0,2,0,0,0,0,0,0,0,NA,NA,"07/04/2020"
"BORDJ BOU ARRERIDJ",34,30,2,8,0,22,2,4,0,0,1,2,0,2,NA,"07/04/2020"
"BOUMERDES",35,17,0,4,1,12,2,2,0,0,1,1,0,1,1,"07/04/2020"
"EL-TARF",36,4,0,0,0,4,0,2,0,0,0,0,1,1,NA,"07/04/2020"
"TINDOUF",37,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,"07/04/2020"
"TISSEMSILT",38,6,0,2,1,3,0,1,0,0,0,0,1,NA,NA,"07/04/2020"
"EL OUED",39,16,0,3,0,13,2,3,0,0,0,0,2,1,1,"07/04/2020"
"KHENCHELA",40,4,0,1,0,2,0,2,0,0,0,0,0,1,1,"07/04/2020"
"SOUK-AHRAS",41,6,0,1,0,5,1,1,0,0,0,1,0,1,NA,"07/04/2020"
"TIPAZA",42,37,1,5,0,32,3,6,0,0,1,2,2,2,1,"07/04/2020"
"MILA",43,2,1,0,0,2,0,0,0,0,0,0,0,NA,NA,"07/04/2020"
"AIN DEFLA",44,28,0,5,0,23,0,2,0,0,0,0,1,NA,NA,"07/04/2020"
"NAAMA",45,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,"07/04/2020"
"AIN-TEMOUCHENT",46,8,0,2,0,6,0,1,0,0,0,0,0,1,NA,"07/04/2020"
"GHARDAIA",47,2,0,1,0,1,0,1,0,0,0,0,1,NA,NA,"07/04/2020"
"RELIZANE",48,9,0,2,0,7,0,1,0,0,0,0,1,0,NA,"07/04/2020"
