"NOM_WILAYA","WILAYA","Confirmés","Nouveaux cas","Décés","Récupéré","Hospitalisés","Femelle","Male","Moin de 1 ans","1-14 ans","15-24 ans","25-49 ans","50-59 ans","sup 60 ans","NP","date"
"ADRAR",1,3,0,0,0,3,0,2,0,0,1,1,0,NA,NA,"04/04/2020"
"CHLEF",2,15,0,0,0,15,0,1,0,0,0,0,0,1,NA,"04/04/2020"
"LAGHOUAT",3,1,0,0,0,1,0,1,0,0,0,0,1,NA,NA,"04/04/2020"
"OUM EL BOUAGHI",4,7,1,2,0,5,2,0,0,0,0,1,0,1,NA,"04/04/2020"
"BATNA",5,14,2,2,0,12,4,3,0,0,0,0,2,1,2,"04/04/2020"
"BEJAIA",6,51,4,2,1,48,2,3,0,0,0,2,1,1,NA,"04/04/2020"
"BISKRA",7,6,0,1,2,3,0,1,0,0,0,0,0,1,NA,"04/04/2020"
"BECHAR",8,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,"04/04/2020"
"BLIDA",9,447,15,34,32,353,180,205,0,7,11,135,74,142,16,"04/04/2020"
"BOUIRA",10,10,0,0,0,10,2,1,0,0,0,0,2,1,NA,"04/04/2020"
"TAMENGHASSET",11,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,"04/04/2020"
"TEBESSA",12,3,2,1,0,2,0,0,0,0,0,0,0,NA,NA,"04/04/2020"
"TLEMCEN",13,32,1,2,0,30,2,5,0,0,0,1,2,2,1,"04/04/2020"
"TIARET",14,1,0,1,0,0,0,0,0,0,0,0,0,NA,NA,"04/04/2020"
"TIZI OUZOU",15,40,1,5,2,33,16,24,0,0,2,13,3,21,NA,"04/04/2020"
"ALGER",16,207,24,32,11,164,61,93,0,1,0,51,37,59,6,"04/04/2020"
"DJELFA",17,11,3,1,0,10,1,0,0,0,0,0,0,1,NA,"04/04/2020"
"JIJEL",18,17,2,0,0,17,1,1,0,0,0,0,1,1,NA,"04/04/2020"
"SETIF",19,47,4,7,2,38,3,4,0,0,1,1,2,1,NA,"04/04/2020"
"SAIDA",20,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,"04/04/2020"
"SKIKDA",21,17,0,0,3,14,3,3,0,0,0,1,1,1,1,"04/04/2020"
"SIDI BEL ABBES",22,10,0,0,0,10,1,1,0,0,0,0,1,1,NA,"04/04/2020"
"ANNABA",23,9,1,0,3,6,2,4,0,0,1,0,1,1,1,"04/04/2020"
"GUELMA",24,3,0,0,0,2,1,1,0,0,0,0,0,1,NA,"04/04/2020"
"CONSTANTINE",25,17,5,3,0,14,2,1,0,0,0,0,0,2,1,"04/04/2020"
"MEDEA",26,25,3,8,1,16,2,3,0,0,0,1,1,1,1,"04/04/2020"
"MOSTAGANEM",27,21,0,1,0,20,2,1,0,0,0,1,1,NA,NA,"04/04/2020"
"M'SILA",28,2,0,2,0,0,0,0,0,0,0,0,0,NA,NA,"04/04/2020"
"MASCARA",29,15,0,0,2,13,2,1,0,0,0,0,1,1,NA,"04/04/2020"
"OUARGLA",30,2,0,0,1,1,0,0,0,0,0,0,0,NA,NA,"04/04/2020"
"ORAN",31,65,1,3,0,62,22,40,0,0,7,24,12,17,2,"04/04/2020"
"EL BAYADH",32,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,"04/04/2020"
"ILLIZI",33,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,"04/04/2020"
"BORDJ BOU ARRERIDJ",34,25,4,3,0,22,2,4,0,0,1,2,0,2,NA,"04/04/2020"
"BOUMERDES",35,16,2,3,1,12,2,2,0,0,1,1,0,1,1,"04/04/2020"
"EL-TARF",36,4,0,0,0,4,0,2,0,0,0,0,1,1,NA,"04/04/2020"
"TINDOUF",37,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,"04/04/2020"
"TISSEMSILT",38,2,0,0,1,1,0,1,0,0,0,0,1,NA,NA,"04/04/2020"
"EL OUED",39,16,0,3,0,13,2,3,0,0,0,0,2,1,1,"04/04/2020"
"KHENCHELA",40,3,1,1,0,2,0,2,0,0,0,0,0,1,1,"04/04/2020"
"SOUK-AHRAS",41,6,0,1,0,5,1,1,0,0,0,1,0,1,NA,"04/04/2020"
"TIPAZA",42,34,2,4,0,30,3,6,0,0,1,2,2,2,1,"04/04/2020"
"MILA",43,1,1,0,0,1,0,0,0,0,0,0,0,NA,NA,"04/04/2020"
"AIN DEFLA",44,28,0,4,0,24,0,2,0,0,0,0,1,NA,NA,"04/04/2020"
"NAAMA",45,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,"04/04/2020"
"AIN-TEMOUCHENT",46,7,1,2,0,5,0,1,0,0,0,0,0,1,NA,"04/04/2020"
"GHARDAIA",47,2,0,1,0,1,0,1,0,0,0,0,1,NA,NA,"04/04/2020"
"RELIZANE",48,7,0,1,0,6,0,1,0,0,0,0,1,0,NA,"04/04/2020"
