"NOM_WILAYA","WILAYA","Confirmés","Nouveaux cas","Décés","Récupéré","Hospitalisés","Femelle","Male","Moin de 1 ans","1-14 ans","15-24 ans","25-49 ans","50-59 ans","sup 60 ans","NP","date"
"ADRAR",1,4,0,1,0,3,0,2,0,0,1,1,0,NA,NA,"08/04/2020"
"CHLEF",2,25,0,1,0,24,0,1,0,0,0,0,0,1,NA,"08/04/2020"
"LAGHOUAT",3,3,0,0,0,3,0,1,0,0,0,0,1,NA,NA,"08/04/2020"
"OUM EL BOUAGHI",4,11,0,3,0,4,2,0,0,0,0,1,0,1,NA,"08/04/2020"
"BATNA",5,16,2,3,0,13,4,3,0,0,0,0,2,1,2,"08/04/2020"
"BEJAIA",6,69,4,6,1,62,2,3,0,0,0,2,1,1,NA,"08/04/2020"
"BISKRA",7,10,1,2,2,6,0,1,0,0,0,0,0,1,NA,"08/04/2020"
"BECHAR",8,8,2,0,0,8,0,0,0,0,0,0,0,NA,NA,"08/04/2020"
"BLIDA",9,494,4,58,32,404,180,205,0,7,11,135,74,142,16,"08/04/2020"
"BOUIRA",10,11,0,0,0,11,2,1,0,0,0,0,2,1,NA,"08/04/2020"
"TAMENGHASSET",11,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,"08/04/2020"
"TEBESSA",12,6,1,2,0,4,0,0,0,0,0,0,0,NA,NA,"08/04/2020"
"TLEMCEN",13,38,0,2,0,36,2,5,0,0,0,1,2,2,1,"08/04/2020"
"TIARET",14,3,2,1,0,0,0,0,0,0,0,0,0,NA,NA,"08/04/2020"
"TIZI OUZOU",15,43,1,7,2,34,16,24,0,0,2,13,3,21,NA,"08/04/2020"
"ALGER",16,277,26,49,11,217,61,93,0,1,0,51,37,59,6,"08/04/2020"
"DJELFA",17,20,4,1,0,19,1,0,0,0,0,0,0,1,NA,"08/04/2020"
"JIJEL",18,17,0,1,0,16,1,1,0,0,0,0,1,1,NA,"08/04/2020"
"SETIF",19,66,8,8,2,56,3,4,0,0,1,1,2,1,NA,"08/04/2020"
"SAIDA",20,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,"08/04/2020"
"SKIKDA",21,20,0,0,3,17,3,3,0,0,0,1,1,1,1,"08/04/2020"
"SIDI BEL ABBES",22,15,2,0,0,15,1,1,0,0,0,0,1,1,NA,"08/04/2020"
"ANNABA",23,14,3,1,3,10,2,4,0,0,1,0,1,1,1,"08/04/2020"
"GUELMA",24,6,1,0,0,6,1,1,0,0,0,0,0,1,NA,"08/04/2020"
"CONSTANTINE",25,27,6,5,0,22,2,1,0,0,0,0,0,2,1,"08/04/2020"
"MEDEA",26,26,0,8,1,17,2,3,0,0,0,1,1,1,1,"08/04/2020"
"MOSTAGANEM",27,27,4,2,0,25,2,1,0,0,0,1,1,NA,NA,"08/04/2020"
"M'SILA",28,8,4,2,0,6,0,0,0,0,0,0,0,NA,NA,"08/04/2020"
"MASCARA",29,17,1,0,2,15,2,1,0,0,0,0,1,1,NA,"08/04/2020"
"OUARGLA",30,4,0,1,1,2,0,0,0,0,0,0,0,NA,NA,"08/04/2020"
"ORAN",31,94,8,6,0,88,22,40,0,0,7,24,12,17,2,"08/04/2020"
"EL BAYADH",32,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,"08/04/2020"
"ILLIZI",33,2,0,0,0,2,0,0,0,0,0,0,0,NA,NA,"08/04/2020"
"BORDJ BOU ARRERIDJ",34,32,2,8,0,24,2,4,0,0,1,2,0,2,NA,"08/04/2020"
"BOUMERDES",35,18,1,4,1,13,2,2,0,0,1,1,0,1,1,"08/04/2020"
"EL-TARF",36,4,0,0,0,4,0,2,0,0,0,0,1,1,NA,"08/04/2020"
"TINDOUF",37,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,"08/04/2020"
"TISSEMSILT",38,12,6,2,1,9,0,1,0,0,0,0,1,NA,NA,"08/04/2020"
"EL OUED",39,16,0,3,0,13,2,3,0,0,0,0,2,1,1,"08/04/2020"
"KHENCHELA",40,4,0,1,0,2,0,2,0,0,0,0,0,1,1,"08/04/2020"
"SOUK-AHRAS",41,6,0,1,0,5,1,1,0,0,0,1,0,1,NA,"08/04/2020"
"TIPAZA",42,43,6,6,0,37,3,6,0,0,1,2,2,2,1,"08/04/2020"
"MILA",43,2,0,0,0,2,0,0,0,0,0,0,0,NA,NA,"08/04/2020"
"AIN DEFLA",44,32,4,5,0,27,0,2,0,0,0,0,1,NA,NA,"08/04/2020"
"NAAMA",45,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,"08/04/2020"
"AIN-TEMOUCHENT",46,9,1,2,0,7,0,1,0,0,0,0,0,1,NA,"08/04/2020"
"GHARDAIA",47,2,0,1,0,1,0,1,0,0,0,0,1,NA,NA,"08/04/2020"
"RELIZANE",48,9,0,2,0,7,0,1,0,0,0,0,1,0,NA,"08/04/2020"
