"NOM_WILAYA","WILAYA","Confirmés","Nouveaux cas","Décés","Récupéré","Hospitalisés","Femelle","Male","Moin de 1 ans","1-14 ans","15-24 ans","25-49 ans","50-59 ans","sup 60 ans","NP","date"
"ADRAR",1,25,0,1,0,24,0,2,0,0,1,1,0,NA,NA,"24/04/2020"
"CHLEF",2,49,0,1,0,48,0,1,0,0,0,0,0,1,NA,"24/04/2020"
"LAGHOUAT",3,20,1,0,0,20,0,1,0,0,0,0,1,NA,NA,"24/04/2020"
"OUM EL BOUAGHI",4,40,3,4,0,36,2,0,0,0,0,1,0,1,NA,"24/04/2020"
"BATNA",5,26,0,4,0,22,4,3,0,0,0,0,2,1,2,"24/04/2020"
"BEJAIA",6,108,1,14,1,93,2,3,0,0,0,2,1,1,NA,"24/04/2020"
"BISKRA",7,42,11,6,2,34,0,1,0,0,0,0,0,1,NA,"24/04/2020"
"BECHAR",8,14,0,0,0,14,0,0,0,0,0,0,0,NA,NA,"24/04/2020"
"BLIDA",9,730,28,102,32,596,180,205,0,7,11,135,74,142,16,"24/04/2020"
"BOUIRA",10,20,1,2,0,18,2,1,0,0,0,0,2,1,NA,"24/04/2020"
"TAMENGHASSET",11,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,"24/04/2020"
"TEBESSA",12,20,1,2,0,18,0,0,0,0,0,0,0,NA,NA,"24/04/2020"
"TLEMCEN",13,61,8,6,0,55,2,5,0,0,0,1,2,2,1,"24/04/2020"
"TIARET",14,46,17,2,0,44,0,0,0,0,0,0,0,NA,NA,"24/04/2020"
"TIZI OUZOU",15,97,0,13,2,82,16,24,0,0,2,13,3,21,NA,"24/04/2020"
"ALGER",16,472,6,103,11,358,61,93,0,1,0,51,37,59,6,"24/04/2020"
"DJELFA",17,45,0,4,0,41,1,0,0,0,0,0,0,1,NA,"24/04/2020"
"JIJEL",18,34,1,5,0,29,1,1,0,0,0,0,1,1,NA,"24/04/2020"
"SETIF",19,140,7,10,2,128,3,4,0,0,1,1,2,1,NA,"24/04/2020"
"SAIDA",20,4,0,0,0,4,0,0,0,0,0,0,0,NA,NA,"24/04/2020"
"SKIKDA",21,33,3,4,3,26,3,3,0,0,0,1,1,1,1,"24/04/2020"
"SIDI BEL ABBES",22,32,3,5,0,25,1,1,0,0,0,0,1,1,NA,"24/04/2020"
"ANNABA",23,24,0,3,3,18,2,4,0,0,1,0,1,1,1,"24/04/2020"
"GUELMA",24,16,0,1,0,15,1,1,0,0,0,0,0,1,NA,"24/04/2020"
"CONSTANTINE",25,102,4,9,0,93,2,1,0,0,0,0,0,2,1,"24/04/2020"
"MEDEA",26,44,2,10,1,33,2,3,0,0,0,1,1,1,1,"24/04/2020"
"MOSTAGANEM",27,56,0,3,0,53,2,1,0,0,0,1,1,NA,NA,"24/04/2020"
"M'SILA",28,17,0,6,0,11,0,0,0,0,0,0,0,NA,NA,"24/04/2020"
"MASCARA",29,39,0,4,2,33,2,1,0,0,0,0,1,1,NA,"24/04/2020"
"OUARGLA",30,40,0,5,1,34,0,0,0,0,0,0,0,NA,NA,"24/04/2020"
"ORAN",31,186,5,13,0,173,22,40,0,0,7,24,12,17,2,"24/04/2020"
"EL BAYADH",32,3,1,0,0,3,0,0,0,0,0,0,0,NA,NA,"24/04/2020"
"ILLIZI",33,2,0,0,0,2,0,0,0,0,0,0,0,NA,NA,"24/04/2020"
"BORDJ BOU ARRERIDJ",34,70,0,16,0,54,2,4,0,0,1,2,0,2,NA,"24/04/2020"
"BOUMERDES",35,42,2,7,1,34,2,2,0,0,1,1,0,1,1,"24/04/2020"
"EL-TARF",36,10,1,0,0,10,0,2,0,0,0,0,1,1,NA,"24/04/2020"
"TINDOUF",37,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,"24/04/2020"
"TISSEMSILT",38,42,3,2,1,39,0,1,0,0,0,0,1,NA,NA,"24/04/2020"
"EL OUED",39,31,0,8,0,23,2,3,0,0,0,0,2,1,1,"24/04/2020"
"KHENCHELA",40,25,2,2,0,23,0,2,0,0,0,0,0,1,1,"24/04/2020"
"SOUK-AHRAS",41,7,0,1,0,6,1,1,0,0,0,1,0,1,NA,"24/04/2020"
"TIPAZA",42,110,1,20,0,90,3,6,0,0,1,2,2,2,1,"24/04/2020"
"MILA",43,9,0,1,0,8,0,0,0,0,0,0,0,NA,NA,"24/04/2020"
"AIN DEFLA",44,113,6,5,0,108,0,2,0,0,0,0,1,NA,NA,"24/04/2020"
"NAAMA",45,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,"24/04/2020"
"AIN-TEMOUCHENT",46,24,1,4,0,20,0,1,0,0,0,0,0,1,NA,"24/04/2020"
"GHARDAIA",47,37,0,4,0,33,0,1,0,0,0,0,1,NA,NA,"24/04/2020"
"RELIZANE",48,18,1,3,0,15,0,1,0,0,0,0,1,0,NA,"24/04/2020"
