"NOM_WILAYA","WILAYA","Confirmés","Nouveaux cas","Décés","Récupéré","Hospitalisés","Femelle","Male","Moin de 1 ans","1-14 ans","15-24 ans","25-49 ans","50-59 ans","sup 60 ans","NP","date"
"ADRAR",1,15,0,1,0,14,0,2,0,0,1,1,0,NA,NA,"21/04/2020"
"CHLEF",2,49,0,1,0,48,0,1,0,0,0,0,0,1,NA,"21/04/2020"
"LAGHOUAT",3,16,0,0,0,16,0,1,0,0,0,0,1,NA,NA,"21/04/2020"
"OUM EL BOUAGHI",4,33,0,4,0,29,2,0,0,0,0,1,0,1,NA,"21/04/2020"
"BATNA",5,26,0,4,0,22,4,3,0,0,0,0,2,1,2,"21/04/2020"
"BEJAIA",6,100,0,13,1,86,2,3,0,0,0,2,1,1,NA,"21/04/2020"
"BISKRA",7,22,2,6,2,14,0,1,0,0,0,0,0,1,NA,"21/04/2020"
"BECHAR",8,14,0,0,0,14,0,0,0,0,0,0,0,NA,NA,"21/04/2020"
"BLIDA",9,692,16,100,32,560,180,205,0,7,11,135,74,142,16,"21/04/2020"
"BOUIRA",10,18,0,2,0,16,2,1,0,0,0,0,2,1,NA,"21/04/2020"
"TAMENGHASSET",11,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,"21/04/2020"
"TEBESSA",12,15,3,2,0,13,0,0,0,0,0,0,0,NA,NA,"21/04/2020"
"TLEMCEN",13,45,1,6,0,39,2,5,0,0,0,1,2,2,1,"21/04/2020"
"TIARET",14,19,4,2,0,17,0,0,0,0,0,0,0,NA,NA,"21/04/2020"
"TIZI OUZOU",15,95,0,12,2,81,16,24,0,0,2,13,3,21,NA,"21/04/2020"
"ALGER",16,460,5,97,11,352,61,93,0,1,0,51,37,59,6,"21/04/2020"
"DJELFA",17,42,0,4,0,38,1,0,0,0,0,0,0,1,NA,"21/04/2020"
"JIJEL",18,32,1,4,0,28,1,1,0,0,0,0,1,1,NA,"21/04/2020"
"SETIF",19,119,7,10,2,107,3,4,0,0,1,1,2,1,NA,"21/04/2020"
"SAIDA",20,2,1,0,0,2,0,0,0,0,0,0,0,NA,NA,"21/04/2020"
"SKIKDA",21,30,0,4,3,23,3,3,0,0,0,1,1,1,1,"21/04/2020"
"SIDI BEL ABBES",22,26,0,5,0,21,1,1,0,0,0,0,1,1,NA,"21/04/2020"
"ANNABA",23,23,3,3,3,17,2,4,0,0,1,0,1,1,1,"21/04/2020"
"GUELMA",24,14,2,0,0,14,1,1,0,0,0,0,0,1,NA,"21/04/2020"
"CONSTANTINE",25,91,19,9,0,82,2,1,0,0,0,0,0,2,1,"21/04/2020"
"MEDEA",26,42,1,9,1,32,2,3,0,0,0,1,1,1,1,"21/04/2020"
"MOSTAGANEM",27,53,2,3,0,50,2,1,0,0,0,1,1,NA,NA,"21/04/2020"
"M'SILA",28,16,1,6,0,10,0,0,0,0,0,0,0,NA,NA,"21/04/2020"
"MASCARA",29,24,0,4,2,18,2,1,0,0,0,0,1,1,NA,"21/04/2020"
"OUARGLA",30,37,3,3,1,33,0,0,0,0,0,0,0,NA,NA,"21/04/2020"
"ORAN",31,168,8,12,0,156,22,40,0,0,7,24,12,17,2,"21/04/2020"
"EL BAYADH",32,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,"21/04/2020"
"ILLIZI",33,2,0,0,0,2,0,0,0,0,0,0,0,NA,NA,"21/04/2020"
"BORDJ BOU ARRERIDJ",34,65,3,14,0,51,2,4,0,0,1,2,0,2,NA,"21/04/2020"
"BOUMERDES",35,36,0,7,1,28,2,2,0,0,1,1,0,1,1,"21/04/2020"
"EL-TARF",36,9,1,0,0,9,0,2,0,0,0,0,1,1,NA,"21/04/2020"
"TINDOUF",37,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,"21/04/2020"
"TISSEMSILT",38,32,3,2,1,29,0,1,0,0,0,0,1,NA,NA,"21/04/2020"
"EL OUED",39,31,0,7,0,24,2,3,0,0,0,0,2,1,1,"21/04/2020"
"KHENCHELA",40,23,1,2,0,21,0,2,0,0,0,0,0,1,1,"21/04/2020"
"SOUK-AHRAS",41,7,0,1,0,6,1,1,0,0,0,1,0,1,NA,"21/04/2020"
"TIPAZA",42,98,1,18,0,80,3,6,0,0,1,2,2,2,1,"21/04/2020"
"MILA",43,9,0,1,0,8,0,0,0,0,0,0,0,NA,NA,"21/04/2020"
"AIN DEFLA",44,96,5,5,0,91,0,2,0,0,0,0,1,NA,NA,"21/04/2020"
"NAAMA",45,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,"21/04/2020"
"AIN-TEMOUCHENT",46,18,0,2,0,16,0,1,0,0,0,0,0,1,NA,"21/04/2020"
"GHARDAIA",47,32,0,4,0,28,0,1,0,0,0,0,1,NA,NA,"21/04/2020"
"RELIZANE",48,12,0,3,0,9,0,1,0,0,0,0,1,0,NA,"21/04/2020"
