"NOM_WILAYA","WILAYA","Confirmés","Nouveaux cas","Décés","Récupéré","Hospitalisés","Femelle","Male","Moin de 1 ans","1-14 ans","15-24 ans","25-49 ans","50-59 ans","sup 60 ans","NP","date"
"ADRAR",1,40,5,2,0,38,0,2,0,0,1,1,0,NA,NA,"30/04/2020"
"CHLEF",2,49,0,1,0,48,0,1,0,0,0,0,0,1,NA,"30/04/2020"
"LAGHOUAT",3,26,0,0,0,26,0,1,0,0,0,0,1,NA,NA,"30/04/2020"
"OUM EL BOUAGHI",4,70,0,5,0,65,2,0,0,0,0,1,0,1,NA,"30/04/2020"
"BATNA",5,34,1,4,0,30,4,3,0,0,0,0,2,1,2,"30/04/2020"
"BEJAIA",6,128,1,14,1,113,2,3,0,0,0,2,1,1,NA,"30/04/2020"
"BISKRA",7,56,0,6,2,48,0,1,0,0,0,0,0,1,NA,"30/04/2020"
"BECHAR",8,42,3,0,0,42,0,0,0,0,0,0,0,NA,NA,"30/04/2020"
"BLIDA",9,799,13,107,32,660,180,205,0,7,11,135,74,142,16,"30/04/2020"
"BOUIRA",10,25,0,3,0,22,2,1,0,0,0,0,2,1,NA,"30/04/2020"
"TAMENGHASSET",11,3,0,0,0,3,0,0,0,0,0,0,0,NA,NA,"30/04/2020"
"TEBESSA",12,30,0,3,0,27,0,0,0,0,0,0,0,NA,NA,"30/04/2020"
"TLEMCEN",13,94,4,6,0,88,2,5,0,0,0,1,2,2,1,"30/04/2020"
"TIARET",14,76,7,4,0,72,0,0,0,0,0,0,0,NA,NA,"30/04/2020"
"TIZI OUZOU",15,104,0,14,2,88,16,24,0,0,2,13,3,21,NA,"30/04/2020"
"ALGER",16,507,5,108,11,388,61,93,0,1,0,51,37,59,6,"30/04/2020"
"DJELFA",17,54,0,5,0,49,1,0,0,0,0,0,0,1,NA,"30/04/2020"
"JIJEL",18,45,0,5,0,40,1,1,0,0,0,0,1,1,NA,"30/04/2020"
"SETIF",19,197,4,16,2,179,3,4,0,0,1,1,2,1,NA,"30/04/2020"
"SAIDA",20,4,0,0,0,4,0,0,0,0,0,0,0,NA,NA,"30/04/2020"
"SKIKDA",21,48,5,4,3,41,3,3,0,0,0,1,1,1,1,"30/04/2020"
"SIDI BEL ABBES",22,48,4,6,0,42,1,1,0,0,0,0,1,1,NA,"30/04/2020"
"ANNABA",23,58,33,4,3,51,2,4,0,0,1,0,1,1,1,"30/04/2020"
"GUELMA",24,22,0,1,0,21,1,1,0,0,0,0,0,1,NA,"30/04/2020"
"CONSTANTINE",25,178,20,9,0,169,2,1,0,0,0,0,0,2,1,"30/04/2020"
"MEDEA",26,63,4,10,1,52,2,3,0,0,0,1,1,1,1,"30/04/2020"
"MOSTAGANEM",27,60,2,3,0,57,2,1,0,0,0,1,1,NA,NA,"30/04/2020"
"M'SILA",28,22,0,7,0,15,0,0,0,0,0,0,0,NA,NA,"30/04/2020"
"MASCARA",29,48,3,4,2,42,2,1,0,0,0,0,1,1,NA,"30/04/2020"
"OUARGLA",30,65,4,6,1,58,0,0,0,0,0,0,0,NA,NA,"30/04/2020"
"ORAN",31,243,4,13,0,230,22,40,0,0,7,24,12,17,2,"30/04/2020"
"EL BAYADH",32,3,0,0,0,3,0,0,0,0,0,0,0,NA,NA,"30/04/2020"
"ILLIZI",33,2,0,0,0,2,0,0,0,0,0,0,0,NA,NA,"30/04/2020"
"BORDJ BOU ARRERIDJ",34,98,7,19,0,79,2,4,0,0,1,2,0,2,NA,"30/04/2020"
"BOUMERDES",35,47,1,8,1,38,2,2,0,0,1,1,0,1,1,"30/04/2020"
"EL-TARF",36,16,0,0,0,16,0,2,0,0,0,0,1,1,NA,"30/04/2020"
"TINDOUF",37,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,"30/04/2020"
"TISSEMSILT",38,46,0,2,1,43,0,1,0,0,0,0,1,NA,NA,"30/04/2020"
"EL OUED",39,38,0,8,0,30,2,3,0,0,0,0,2,1,1,"30/04/2020"
"KHENCHELA",40,34,1,2,0,32,0,2,0,0,0,0,0,1,1,"30/04/2020"
"SOUK-AHRAS",41,13,0,1,0,12,1,1,0,0,0,1,0,1,NA,"30/04/2020"
"TIPAZA",42,140,2,23,0,117,3,6,0,0,1,2,2,2,1,"30/04/2020"
"MILA",43,12,0,1,0,11,0,0,0,0,0,0,0,NA,NA,"30/04/2020"
"AIN DEFLA",44,183,15,5,0,178,0,2,0,0,0,0,1,NA,NA,"30/04/2020"
"NAAMA",45,3,0,0,0,3,0,0,0,0,0,0,0,NA,NA,"30/04/2020"
"AIN-TEMOUCHENT",46,43,2,4,0,39,0,1,0,0,0,0,0,1,NA,"30/04/2020"
"GHARDAIA",47,59,3,4,0,55,0,1,0,0,0,0,1,NA,NA,"30/04/2020"
"RELIZANE",48,31,5,3,0,28,0,1,0,0,0,0,1,0,NA,"30/04/2020"
