"NOM_WILAYA","WILAYA","Confirmés","Nouveaux cas","Décés","Récupéré","Hospitalisés","Femelle","Male","Moin de 1 ans","1-14 ans","15-24 ans","25-49 ans","50-59 ans","sup 60 ans","NP","date"
"ADRAR",1,35,0,1,0,34,0,2,0,0,1,1,0,NA,NA,"28/04/2020"
"CHLEF",2,49,0,1,0,48,0,1,0,0,0,0,0,1,NA,"28/04/2020"
"LAGHOUAT",3,25,1,0,0,25,0,1,0,0,0,0,1,NA,NA,"28/04/2020"
"OUM EL BOUAGHI",4,63,4,5,0,58,2,0,0,0,0,1,0,1,NA,"28/04/2020"
"BATNA",5,26,0,4,0,22,4,3,0,0,0,0,2,1,2,"28/04/2020"
"BEJAIA",6,124,3,14,1,109,2,3,0,0,0,2,1,1,NA,"28/04/2020"
"BISKRA",7,55,3,6,2,47,0,1,0,0,0,0,0,1,NA,"28/04/2020"
"BECHAR",8,34,4,0,0,34,0,0,0,0,0,0,0,NA,NA,"28/04/2020"
"BLIDA",9,772,11,107,32,633,180,205,0,7,11,135,74,142,16,"28/04/2020"
"BOUIRA",10,24,0,3,0,21,2,1,0,0,0,0,2,1,NA,"28/04/2020"
"TAMENGHASSET",11,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,"28/04/2020"
"TEBESSA",12,25,2,3,0,22,0,0,0,0,0,0,0,NA,NA,"28/04/2020"
"TLEMCEN",13,79,8,6,0,73,2,5,0,0,0,1,2,2,1,"28/04/2020"
"TIARET",14,55,1,4,0,51,0,0,0,0,0,0,0,NA,NA,"28/04/2020"
"TIZI OUZOU",15,103,4,14,2,87,16,24,0,0,2,13,3,21,NA,"28/04/2020"
"ALGER",16,494,14,105,11,378,61,93,0,1,0,51,37,59,6,"28/04/2020"
"DJELFA",17,52,2,4,0,48,1,0,0,0,0,0,0,1,NA,"28/04/2020"
"JIJEL",18,43,0,5,0,38,1,1,0,0,0,0,1,1,NA,"28/04/2020"
"SETIF",19,181,8,12,2,167,3,4,0,0,1,1,2,1,NA,"28/04/2020"
"SAIDA",20,4,0,0,0,4,0,0,0,0,0,0,0,NA,NA,"28/04/2020"
"SKIKDA",21,37,1,4,3,30,3,3,0,0,0,1,1,1,1,"28/04/2020"
"SIDI BEL ABBES",22,44,3,6,0,38,1,1,0,0,0,0,1,1,NA,"28/04/2020"
"ANNABA",23,25,0,4,3,18,2,4,0,0,1,0,1,1,1,"28/04/2020"
"GUELMA",24,19,0,1,0,18,1,1,0,0,0,0,0,1,NA,"28/04/2020"
"CONSTANTINE",25,148,6,9,0,139,2,1,0,0,0,0,0,2,1,"28/04/2020"
"MEDEA",26,55,4,10,1,44,2,3,0,0,0,1,1,1,1,"28/04/2020"
"MOSTAGANEM",27,57,0,3,0,54,2,1,0,0,0,1,1,NA,NA,"28/04/2020"
"M'SILA",28,18,1,7,0,11,0,0,0,0,0,0,0,NA,NA,"28/04/2020"
"MASCARA",29,42,2,4,2,36,2,1,0,0,0,0,1,1,NA,"28/04/2020"
"OUARGLA",30,60,3,5,1,54,0,0,0,0,0,0,0,NA,NA,"28/04/2020"
"ORAN",31,229,27,13,0,216,22,40,0,0,7,24,12,17,2,"28/04/2020"
"EL BAYADH",32,3,0,0,0,3,0,0,0,0,0,0,0,NA,NA,"28/04/2020"
"ILLIZI",33,2,0,0,0,2,0,0,0,0,0,0,0,NA,NA,"28/04/2020"
"BORDJ BOU ARRERIDJ",34,88,1,17,0,71,2,4,0,0,1,2,0,2,NA,"28/04/2020"
"BOUMERDES",35,44,1,8,1,35,2,2,0,0,1,1,0,1,1,"28/04/2020"
"EL-TARF",36,13,0,0,0,13,0,2,0,0,0,0,1,1,NA,"28/04/2020"
"TINDOUF",37,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,"28/04/2020"
"TISSEMSILT",38,46,0,2,1,43,0,1,0,0,0,0,1,NA,NA,"28/04/2020"
"EL OUED",39,38,3,8,0,30,2,3,0,0,0,0,2,1,1,"28/04/2020"
"KHENCHELA",40,30,0,2,0,28,0,2,0,0,0,0,0,1,1,"28/04/2020"
"SOUK-AHRAS",41,12,3,1,0,11,1,1,0,0,0,1,0,1,NA,"28/04/2020"
"TIPAZA",42,129,3,22,0,107,3,6,0,0,1,2,2,2,1,"28/04/2020"
"MILA",43,12,1,1,0,11,0,0,0,0,0,0,0,NA,NA,"28/04/2020"
"AIN DEFLA",44,137,3,5,0,132,0,2,0,0,0,0,1,NA,NA,"28/04/2020"
"NAAMA",45,3,0,0,0,3,0,0,0,0,0,0,0,NA,NA,"28/04/2020"
"AIN-TEMOUCHENT",46,38,4,4,0,34,0,1,0,0,0,0,0,1,NA,"28/04/2020"
"GHARDAIA",47,51,0,4,0,47,0,1,0,0,0,0,1,NA,NA,"28/04/2020"
"RELIZANE",48,25,1,3,0,22,0,1,0,0,0,0,1,0,NA,"28/04/2020"
