"NOM_WILAYA","WILAYA","Confirmés","Nouveaux cas","Décés","Récupéré","Hospitalisés","Femelle","Male","Moin de 1 ans","1-14 ans","15-24 ans","25-49 ans","50-59 ans","sup 60 ans","NP","date"
"ADRAR",1,4,0,1,0,3,0,2,0,0,1,1,0,NA,NA,"11/04/2020"
"CHLEF",2,31,1,1,0,30,0,1,0,0,0,0,0,1,NA,"11/04/2020"
"LAGHOUAT",3,8,0,0,0,8,0,1,0,0,0,0,1,NA,NA,"11/04/2020"
"OUM EL BOUAGHI",4,18,1,3,0,15,2,0,0,0,0,1,0,1,NA,"11/04/2020"
"BATNA",5,21,3,4,0,17,4,3,0,0,0,0,2,1,2,"11/04/2020"
"BEJAIA",6,77,0,9,1,67,2,3,0,0,0,2,1,1,NA,"11/04/2020"
"BISKRA",7,10,0,3,2,5,0,1,0,0,0,0,0,1,NA,"11/04/2020"
"BECHAR",8,10,0,0,0,10,0,0,0,0,0,0,0,NA,NA,"11/04/2020"
"BLIDA",9,538,9,73,32,433,180,205,0,7,11,135,74,142,16,"11/04/2020"
"BOUIRA",10,13,0,1,0,12,2,1,0,0,0,0,2,1,NA,"11/04/2020"
"TAMENGHASSET",11,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,"11/04/2020"
"TEBESSA",12,7,1,2,0,5,0,0,0,0,0,0,0,NA,NA,"11/04/2020"
"TLEMCEN",13,38,0,6,0,32,2,5,0,0,0,1,2,2,1,"11/04/2020"
"TIARET",14,4,0,1,0,3,0,0,0,0,0,0,0,NA,NA,"11/04/2020"
"TIZI OUZOU",15,49,2,8,2,39,16,24,0,0,2,13,3,21,NA,"11/04/2020"
"ALGER",16,328,18,71,11,243,61,93,0,1,0,51,37,59,6,"11/04/2020"
"DJELFA",17,26,5,2,0,24,1,0,0,0,0,0,0,1,NA,"11/04/2020"
"JIJEL",18,24,3,3,0,21,1,1,0,0,0,0,1,1,NA,"11/04/2020"
"SETIF",19,87,7,8,2,77,3,4,0,0,1,1,2,1,NA,"11/04/2020"
"SAIDA",20,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,"11/04/2020"
"SKIKDA",21,22,1,0,3,19,3,3,0,0,0,1,1,1,1,"11/04/2020"
"SIDI BEL ABBES",22,18,1,0,0,18,1,1,0,0,0,0,1,1,NA,"11/04/2020"
"ANNABA",23,14,0,2,3,9,2,4,0,0,1,0,1,1,1,"11/04/2020"
"GUELMA",24,6,0,0,0,6,1,1,0,0,0,0,0,1,NA,"11/04/2020"
"CONSTANTINE",25,36,3,5,0,31,2,1,0,0,0,0,0,2,1,"11/04/2020"
"MEDEA",26,27,1,8,1,18,2,3,0,0,0,1,1,1,1,"11/04/2020"
"MOSTAGANEM",27,29,0,2,0,27,2,1,0,0,0,1,1,NA,NA,"11/04/2020"
"M'SILA",28,8,0,4,0,4,0,0,0,0,0,0,0,NA,NA,"11/04/2020"
"MASCARA",29,20,0,3,2,15,2,1,0,0,0,0,1,1,NA,"11/04/2020"
"OUARGLA",30,4,0,1,1,2,0,0,0,0,0,0,0,NA,NA,"11/04/2020"
"ORAN",31,105,1,9,0,96,22,40,0,0,7,24,12,17,2,"11/04/2020"
"EL BAYADH",32,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,"11/04/2020"
"ILLIZI",33,2,0,0,0,2,0,0,0,0,0,0,0,NA,NA,"11/04/2020"
"BORDJ BOU ARRERIDJ",34,38,1,8,0,30,2,4,0,0,1,2,0,2,NA,"11/04/2020"
"BOUMERDES",35,25,0,5,1,19,2,2,0,0,1,1,0,1,1,"11/04/2020"
"EL-TARF",36,4,0,0,0,4,0,2,0,0,0,0,1,1,NA,"11/04/2020"
"TINDOUF",37,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,"11/04/2020"
"TISSEMSILT",38,15,0,2,1,12,0,1,0,0,0,0,1,NA,NA,"11/04/2020"
"EL OUED",39,16,0,6,0,10,2,3,0,0,0,0,2,1,1,"11/04/2020"
"KHENCHELA",40,9,3,1,0,8,0,2,0,0,0,0,0,1,1,"11/04/2020"
"SOUK-AHRAS",41,6,0,1,0,5,1,1,0,0,0,1,0,1,NA,"11/04/2020"
"TIPAZA",42,57,2,12,0,45,3,6,0,0,1,2,2,2,1,"11/04/2020"
"MILA",43,3,0,0,0,3,0,0,0,0,0,0,0,NA,NA,"11/04/2020"
"AIN DEFLA",44,41,1,5,0,36,0,2,0,0,0,0,1,NA,NA,"11/04/2020"
"NAAMA",45,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,"11/04/2020"
"AIN-TEMOUCHENT",46,13,0,2,0,11,0,1,0,0,0,0,0,1,NA,"11/04/2020"
"GHARDAIA",47,2,0,1,0,1,0,1,0,0,0,0,1,NA,NA,"11/04/2020"
"RELIZANE",48,9,0,2,0,7,0,1,0,0,0,0,1,0,NA,"11/04/2020"
